source,target
caduvieira/plonegovbridg,plone
digitalagendadata/scoreboard.plone,plone
eeacms/daviz,plone
eeacms/kgs,plone
eeacms/plone-test,plone
unixelias/plone.idg,plone
digitalagendadata/scoreboard.plone.devel,digitalagendadata/scoreboard.plone
digitalagendadata/scoreboard.plone.staging,digitalagendadata/scoreboard.plone
eeacms/eea.docker.plone-climateadapt,eeacms/kgs
eeacms/eea.docker.plone.bise,eeacms/kgs
eeacms/kgs-devel,eeacms/kgs
eeacms/plone-copernicus-insitu,eeacms/kgs
eeacms/plone-copernicus-land,eeacms/kgs
eeacms/plone-emrt,eeacms/kgs
eeacms/plone-emrt-necd,eeacms/kgs
eeacms/plone-wise,eeacms/kgs
eeacms/www,eeacms/kgs
ipetchesi/eea.docker.plone-climateadapt,eeacms/kgs
ipetchesi/eea.docker.plone.bise,eeacms/kgs
eeacms/plone-eni-seis,eeacms/kgs-devel
eeacms/plone-esdrt,eeacms/kgs-devel
eeacms/www-devel,eeacms/www
