source,target
atwoz/crossbar-router,pypy
atwoz/oasis-sym-downloader,pypy
bbangert/ap-loadtester,pypy
forestscribe/github_hook,pypy
fusionapp/base,pypy
fusionapp/soapproxy,pypy
hivesolutions/pypy,pypy
kapokyue/crossbar-pypy,pypy
mandeep170/custodian-pypy,pypy
praekeltfoundation/pypy-base,pypy
qazbnm456/tsaotun,pypy
hivesolutions/files,hivesolutions/pypy
hivesolutions/libs,hivesolutions/pypy
hivesolutions/proxy_d,hivesolutions/pypy
hivesolutions/smtp_r,hivesolutions/pypy
hivesolutions/socks,hivesolutions/pypy
sdehaan/robby,praekeltfoundation/pypy-base
