source,target
42nerds/locomotive,rails
artemave/thesmallestrailsapp.com,rails
bettse/trackladd,rails
bidu/heimdall,rails
bradjonesllc/discourse,rails
carinamarina/try-rails,rails
codeformuenster/discourse,rails
danieloliv/healthy-life-api,rails
defektive/docker-rails-basic,rails
deseretbook/kamas,rails
devescom/discourse,rails
electronicfrontierfoundation/action-center-platform,rails
emc2/thinknetica-rails,rails
enragedbreakfast/dunder-mifflin,rails
ermaker/mshard_server,rails
geezyx/docker-rails,rails
gordonburgett/locomotive_engine,rails
horaceheaven/quick-rails,rails
ianpward/metal-gear-demo,rails
jacksonargo/hsdndbot,rails
johnjmikucki/automagic,rails
josephsiefers/docker-example,rails
k2nr/rails-docker-sample,rails
kentas/rails-nodejs,rails
kosmas/shine,rails
logical/logical,rails
mccabe615/ruby-metaprogramming-sec-issue,rails
mcdowellnet/flix,rails
meetawesomepeople/meetawesomepeople,rails
mesosphere/tweeter,rails
mustela/catcher,rails
nkostelnik/mailed,rails
oveits/provisioningengine,rails
paulbadcock/toller,rails
pixela/fabrikmaps,rails
pixela/maremaya,rails
plumber/plumber-rails,rails
pyar6329/elib,rails
rafael/docker-rails-toy,rails
rafael/docker-rails-toy-2,rails
railsgarage/spree-base,rails
rubyisbeautiful/olmcnrh_build,rails
saidimu/blazer,rails
sasalatart/edfunding,rails
serapath/leadshareapp,rails
stacksimple/base-images.stacksimple.io,rails
taopaic/rails4-node4,rails
trapitos/al-sol,rails
tsing/discourse,rails
valiant/rails-tutorial-sample-app,rails
workandco/just-web-platform,rails
yellowiscool/datagraftreturn,rails
