source,target
openjdk-build-base,alpine-base
openjdk-jre-base,alpine-base
alpine-supervisor,alpine-base
banditio.engine,alpine-base
ts-nzbget,alpine-base
alpine-aptly,alpine-base
alpine-base-glibc,alpine-base
alpine-fluentd,alpine-base
alpine-haproxy,alpine-base
alpine-mumble,alpine-base
alpine-netdata,alpine-base
alpine-newsboat,alpine-base
alpine-nginx-php5,alpine-base
alpine-nginx-php7,alpine-base
alpine-nodejs,alpine-base
alpine-openfire,alpine-base
alpine-posty-webui,alpine-base
alpine-prosody,alpine-base
alpine-spiderfoot,alpine-base
alpine-virtualmail,alpine-base
alpine-weechat,alpine-base
alpine-php7,alpine-base
alpine-runit,alpine-base
nextcloud-fpm,alpine-base
panel,alpine-base
python2.7-gunicorn,alpine-base
alpine-glibc,alpine-base
alpine-redis,alpine-base
agent-base,alpine-base
alpine-php5,alpine-base
alpine-php5-phalcon2,alpine-base
alpine-ansible,alpine-base
alpine-awscli,alpine-base
alpine-filebeat,alpine-base
alpine-logstash,alpine-base
alpine-logstash-cloudwatch,alpine-base
alpine-nodejs,alpine-base
alpine-packer,alpine-base
alpine-statsd-proxy,alpine-base
alpine-terraform,alpine-base
alpine-sshd,alpine-base
alpine-aria2,alpine-base
alpine-influxdb,alpine-base
alpine-nginx,alpine-base
alpine-nodejs,alpine-base
alpine-php,alpine-base
alpine-python,alpine-base
alpine-redis,alpine-base
alpine-ruby,alpine-base
alpine-syncthing,alpine-base
alpine-sshd,alpine-base
alpine-php,alpine-base
alpine-petsc,alpine-base
precis,alpine-base
duplicity,alpine-base
mumbleserver,alpine-base
mumblesoundboard,alpine-base
webserverbase,alpine-base
kapacitor,alpine-base
alpine-monit,alpine-base
ampache,alpine-base
deluge,alpine-base
mkdocs,alpine-base
calibre-web,alpine-base
alpine-glibc-base,alpine-base
bwa,alpine-base
samtools,alpine-base
alpine-mysql,alpine-base
alpine-sbt,alpine-base
alpine-server,alpine-base
alpine-texlive,alpine-base
alpine-consul,alpine-base
alpine-haproxy,alpine-base
alpine-pki,alpine-base
java,alpine-base
leanote-docker,alpine-base
mongodb-docker,alpine-base
nodejs,alpine-base
aws-backups,alpine-base
rtorrent,alpine-base
alpine-php_fpm,alpine-base
http-heartbeat,alpine-base
alpine-serf,alpine-base
alpine-tor,alpine-base
activemq,alpine-base
alpine-consul,alpine-base
aria2dsm,alpine-base
apache,alpine-base
apache-php,alpine-base
php,alpine-base
alpine-sysctl,alpine-base
alpine-volume,alpine-base
cozy-stack,alpine-base
gitea,alpine-base
padlock-cloud,alpine-base
restic,alpine-base
minimal-nginx,alpine-base
alpine-redis,alpine-base
alpine-jdk8,alpine-base
alpine-link-local,alpine-base
alpine-monit,alpine-base
alpine-redis,alpine-base
alpine-sysctl,alpine-base
alpine-tools,alpine-base
alpine-volume,alpine-base
