source,target
elasticsearch,alpine-oraclejdk8
play25-runner,alpine-oraclejdk8
approver-list-service,alpine-oraclejdk8
document-service,alpine-oraclejdk8
folder-service,alpine-oraclejdk8
docker-kafka,alpine-oraclejdk8
finance,alpine-oraclejdk8
force-com,alpine-oraclejdk8
docker-android-sdk,alpine-oraclejdk8
docker-android-alpine,alpine-oraclejdk8
docker-scala-ember,alpine-oraclejdk8
samplecode,alpine-oraclejdk8
docker-atlassian-jira,alpine-oraclejdk8
bigdata-alpine-base,alpine-oraclejdk8
spigot-docker,alpine-oraclejdk8
ping-play,alpine-oraclejdk8
api,alpine-oraclejdk8
graphql,alpine-oraclejdk8
maven-oraclejdk-on-alpine,alpine-oraclejdk8
ditaa,alpine-oraclejdk8
plantuml,alpine-oraclejdk8
lilypad-connect,alpine-oraclejdk8
lilypad-proxy,alpine-oraclejdk8
geoserver,alpine-oraclejdk8
docker-jenkins-android,alpine-oraclejdk8
apktool,alpine-oraclejdk8
national_rail_traintracker,alpine-oraclejdk8
gedit-cloud-hello,alpine-oraclejdk8
catalogerprovider,alpine-oraclejdk8
ticketmagpie,alpine-oraclejdk8
docker-spark-master,alpine-oraclejdk8
docker-spark-worker,alpine-oraclejdk8
boot-appeal-service,alpine-oraclejdk8
boot-disposal-service,alpine-oraclejdk8
animitar,alpine-oraclejdk8
cassidyphotography,alpine-oraclejdk8
jackmodera,alpine-oraclejdk8
jamaicatalina,alpine-oraclejdk8
summerchase,alpine-oraclejdk8
tragicallylovely,alpine-oraclejdk8
yikyack,alpine-oraclejdk8
jfrog-mission-control,alpine-oraclejdk8
docker-xwiki-jetty,alpine-oraclejdk8
java,alpine-oraclejdk8
bigdata-base,alpine-oraclejdk8
sonarqube,alpine-oraclejdk8
restpersonspringbootswagger,alpine-oraclejdk8
docker-node-java,alpine-oraclejdk8
dynamodb-local,alpine-oraclejdk8
elasticmq,alpine-oraclejdk8
alpine-payara,alpine-oraclejdk8
alpine-scala,alpine-oraclejdk8
microservice-docker-demo-eureka-server,alpine-oraclejdk8
microservice-docker-demo-user,alpine-oraclejdk8
widget-service-demo,alpine-oraclejdk8
confluent-platform,alpine-oraclejdk8
modeler-microservice,alpine-oraclejdk8
language,alpine-oraclejdk8
ngram-data,alpine-oraclejdk8
gradle,alpine-oraclejdk8
java,alpine-oraclejdk8
spring-boot-cli,alpine-oraclejdk8
danmu-analyzer,alpine-oraclejdk8
password-keeper,alpine-oraclejdk8
gamification,alpine-oraclejdk8
gamification-slack-bot,alpine-oraclejdk8
keepers,alpine-oraclejdk8
keepers-slack-bot,alpine-oraclejdk8
unificontroller,alpine-oraclejdk8
docker-scala-sbt-git,alpine-oraclejdk8
jboss,alpine-oraclejdk8
wildfly,alpine-oraclejdk8
bookmark-app,alpine-oraclejdk8
java8-base,alpine-oraclejdk8
