source,target
docker-generator-m-ionic,android
generator-m-ionic,android
android-cordova,android
nativescript,android
android-nodejs,android
baboon-android-ci,android
docker-android-fastlane,android
docker-android-sdk,android
circleci-android-appium,android
nodejs,android
circleci-android,android
bitrise-docker-android-ndk,android
android-emulator-22,android
android-emulator-23,android
android-ndk,android
docker-android-fastlane,android
phonebook,android
android-extra-docker,android
san-docker-images,android
android-emulator,android
android-plus,android
cordova-android-docker,android
ionic2,android
android_ndk,android
ndk_ask,android
ionic,android
docker-android-cordova,android
cordova,android
calabash-android-cloud9,android
fresco-build,android
ionic-android,android
ionic-cordova-android,android
android-circleci-litho,android
wm_435_env,android
cordova,android
react-native-android,android
android-26-ruby,android
ionic-inc,android
circleci-android-qt,android
docker-android-studio,android
android-sdk,android
android-studio,android
android-build,android
android-ndk,android
android-16,android
android-17,android
android-18,android
android-19,android
android-21,android
android-22,android
android-23,android
android-nodejs,android
build-ionic-android,android
mapbox-gl-native-android,android
bndroid,android
jenkins-android,android
android-studio,android
infer,android
ndk,android
android_emulator,android
nativescript,android-nodejs
cordova,android-nodejs
ionic,cordova
ionic,nodejs
android-cordova,cordova
ionic,cordova
ionic,nodejs
ionic-android,ionic
cordova,android-nodejs
cordova,android-nodejs
ionic,cordova
android-cordova,cordova
android-sdk,cordova
android-ndk,android-sdk
cordova,android-nodejs
ionic,cordova
infer,android-sdk
nativescript,android-nodejs
android-studio,android-sdk
ionic,cordova
cordova,android-sdk
cordova,android-nodejs
