source,target
archmake-devel,archlinux
mandelbulber2-headless,archlinux
context-docker,archlinux
rpc,archlinux
archlinux-docker-makepkg,archlinux
archlinux-yaourt,archlinux
arch-adobe-air,archlinux
px-scripts,archlinux
archlinux-assault,archlinux
docker-openvpn-client,archlinux
docker,archlinux
chromium,archlinux
eager,archlinux
os-archconsole,archlinux
archstrike,archlinux
docker-solr,archlinux
custom-iso,archlinux
docker-archlinux-rvm,archlinux
archlinux-mybase,archlinux
codenvy,archlinux
docker-cpp-ci,archlinux
archlinux_chef,archlinux
archlinux-yaourt,archlinux
archlinux-dev,archlinux
brinkos,archlinux
archdocker,archlinux
docker-mingw-qt5,archlinux
core,archlinux
build-arch,archlinux
mizarch,archlinux
jenkins-slave-archlinux,archlinux
clamavd,archlinux
docker-arch-yaourt,archlinux
meteor-install,archlinux
cxflow,archlinux
archstrike,archlinux
texlive,archlinux
nzbdrone-torrents,archlinux
archlinux-jdk,archlinux
archlinuxcn,archlinux
glad-test,archlinux
liquidsoap,archlinux
docker-latex,archlinux
java-builder-arch,archlinux
cpp,archlinux
dev,archlinux
haxe,archlinux
build-archlinux,archlinux
gitolite,archlinux
arch-minimal,archlinux
counterpartyd,archlinux
olinuxino-crosscompiler,archlinux
docker-arch-ionic,archlinux
archbox,archlinux
rabbitmq,archlinux
arch,archlinux
archlinux-basic,archlinux
arch_jdk_vnc,archlinux
latex-archlinux,archlinux
react-native,archlinux
juju-docker,archlinux
docker-qt-arch-packaging,archlinux
archlinux-base,archlinux
postfix-dbmail,archlinux
archlinux-devel,archlinux
btc-trade-collect,archlinux
ansible,archlinux
gopherlab,archlinux
docker-graphene,archlinux
archlinux-updated-aur,archlinux
archlinux-pharo-smalltalk,archlinux
archlinux-rust,archlinux
lazar-gui,archlinux
lazar-rest,archlinux
alsa-utils,archlinux
feh,archlinux
archlinux-repobuilder,archlinux
whale-blender,archlinux
arch-sdlmame-automated-build,archlinux
archlinux-aur,archlinux
gollum,archlinux
hub-build-test,archlinux
lamp,archlinux
sshd,archlinux
archlinux_python,archlinux
marblearch,archlinux
r2m2,archlinux
https-proxy,archlinux
solr,archlinux
sqldeveloper,archlinux
sqlplus,archlinux
aur-mingw-builder,archlinux
mingw-qt5,archlinux
archlinux-yaourt,archlinux
archlinux-cn,archlinux
letterly,archlinux
homebridge,archlinux
rust,archlinux
archlinux-makepkg,archlinux
organic-box-factory,archlinux
docker-rust-musl,archlinux
docker-vagrant-git,archlinux
brinkos-builder,archlinux
arch-openwrt-buildroot,archlinux
arch-base,archlinux
dimmers-poller,archlinux
clang-tidy,archlinux
arch-playground,archlinux
mockups-creator,archlinux
docker-archlinux,archlinux
justbuchanan.com,archlinux
docker-archlinux-qemu-arm-builder,archlinux
sr_srv_semaforow,archlinux
bind,archlinux
chat,archlinux
gitlab,archlinux
postgres,archlinux
redis,archlinux
registry,archlinux
web,archlinux
samba-addc,archlinux
docker-hexo,archlinux
gtox-travis-build,archlinux
mjpg-streamer,archlinux
pulseaudio-bluetooth,archlinux
archlinux-texlive,archlinux
lapis-archlinux,archlinux
nvr-dev,archlinux
servethis,archlinux
archlinux-spiderfoot,archlinux
archlinux-unrealircd,archlinux
archlinux_gcc_meson,archlinux
archlinux-chef,archlinux
arch-yay,archlinux
docker-arch-systemd,archlinux
arch-base,archlinux
autoaurbuilder-arch-makepkg,archlinux
docker-archlinux,archlinux
docker-pellets-builder,archlinux
arch-ffmpeg-gpac,archlinux
docker-sbt-coursier,archlinux
glitch-playground,archlinux
owncloud,archlinux
pyload,archlinux
consul-template,archlinux
couchdb-lucene,archlinux
desktop,archlinux
ruby21,archlinux
arch-re2-boost,archlinux
latex,archlinux
lximediaserver,archlinux
readymedia-transcode,archlinux
docker-gitlab-runner-android,archlinux
firefox,archlinux
firefox-bundle,archlinux
nginx,archlinux
php-fpm,archlinux
docker,archlinux
archbase,archlinux
dockers,archlinux
mingw-sdl2,archlinux
comfy,archlinux
nifty,archlinux
archlinux-pharo-image,archlinux
docker-persistence,archlinux
bitlbee,archlinux
znc,archlinux
spigot-amd64,archlinux
log.io-arch,archlinux
finance,archlinux
pacman-repo,archlinux
arch-sudo,archlinux
bitshares,archlinux
publicnode,archlinux
pandoc,archlinux
couchpotato,archlinux
deluge,archlinux
headphones,archlinux
lazylibrarian,archlinux
maraschino,archlinux
megasearch,archlinux
notebooks,archlinux
sabnzbd,archlinux
sickbeard,archlinux
yolomer,archlinux
arch_dark,archlinux
ingress-ice,archlinux
arch-yay,archlinux
dotfiles,archlinux
docker-luyten,archlinux
maven-build,archlinux
latex,archlinux
opencv,archlinux
archlinux-pacaur,archlinux
deluge,archlinux
jackett,archlinux
radarr,archlinux
webdav,archlinux
continuovel,archlinux
rproxy,archlinux
pinger,archlinux
arm-sdcard-builder,archlinux
arch-dumbinit,archlinux
dockers,archlinux
android-emulator-x11,archlinux
latex-cz,archlinux
arch-novnc,archlinux
linux-laptop,archlinux
nikola,archlinux
latex,archlinux
archlinux-devel,archlinux
package-query,archlinux
freeradius,archlinux
archlinux-jdk,archlinux
aspnetvnext,archlinux
arch-kernel,archlinux
arch-lxqt,archlinux
arch-xfce4,archlinux
arch-tools,archlinux
arch-kitchen-docker,archlinux
glusterfs,archlinux
arch-kitchen-docker,archlinux
arch-systemd-kitchen,archlinux
gapjupyterdocker,archlinux
opendavinci-archlinux,archlinux
fetchmail,archlinux
capsula,archlinux
arch-blender,archlinux
shaddock,archlinux
arch-love-release,archlinux
es5-min-build,archlinux
rabbitmq-etcd,archlinux
semantics-ner,archlinux
spitfire,archlinux
ci-vagrant,archlinux
qt-win-crosscompile-docker,archlinux
archlinux-build,archlinux
node-formvision,archlinux
sfml-clang-arch-docker,archlinux
cabal-build,archlinux
hello-heidi,archlinux
archlinux-ssh-x11,archlinux
archlinux-pacaur,archlinux
base,archlinux
openvswitch,archlinux
dynamodblocal,archlinux
elasticmq,archlinux
minio-server,archlinux
arch-pkgbuild,archlinux
arch-linux,archlinux
inception,archlinux
inkscape,archlinux
pandoc-archlinux,archlinux
archlinux-aura,archlinux
debugger,archlinux
archlinux-with-yaourt,archlinux
clone,archlinux
archlinux-multibuild,archlinux
base-arch,archlinux
makepkg,archlinux
nx-transistor-build-tools,archlinux
elixir-dirty-scheduler,archlinux
shadowsocks-manager,archlinux
docker-ansible-arch-rolling,archlinux
docker-ansible-manjaro-rolling,archlinux
poseidon,archlinux
deluge,archlinux
base,archlinux
clearsilver,archlinux
nginx,base
redis,base
couchpotato,base
nginx,base
sabnzbd,base
redis,base
couchpotato,base
sickbeard,base
web,base
consul-template,docker
web,nginx
postgres,base
latex,base
web,nginx
nginx,base
rabbitmq,base
nginx,base
web,core
arch,build-arch
couchpotato,base
headphones,base
jackett,base
znc,base
docker,nginx
rproxy,nginx
web,nginx
redis,base
ansible,base
ansible,base
redis,base
nginx,base
rabbitmq,base
redis,base
redis,base
solr,docker-solr
redis,base
gitolite,nginx
bitlbee,base
dotfiles,base
registry,base
nginx,base
arch,arch-minimal
nginx,base
nginx,base
redis,base
dev,arch
rabbitmq,nginx
redis,base
redis,base
firefox,archlinux-basic
registry,nginx
latex,base
sabnzbd,base
core,base
nginx,base
owncloud,nginx
nginx,consul-template
nginx,base
nginx,base
docker,nginx
jackett,ansible
radarr,ansible
pandoc,texlive
web,base
consul-template,base
owncloud,web
arch,base
dev,base
gollum,archlinux-aur
postgres,base
pyload,base
web,base
cabal-build,arch
sqldeveloper,arch
couchpotato,base
headphones,base
lazylibrarian,base
redis,base
redis,base
owncloud,base
docker,nginx
makepkg,base-arch
redis,base
ansible,base
bind,base
nginx,base
postgres,base
dev,base
core,base
solr,docker-solr
dotfiles,base
web,nginx
latex,base
core,nginx
dev,core
pandoc,latex
nginx,base
docker-latex,latex
dev,base
redis,base
web,base
web,nginx
owncloud,lamp
nginx,base
sickbeard,base
dev,php-fpm
owncloud,nginx
nginx,base
nginx,base
php-fpm,nginx
redis,base
web,nginx
arch-base,base
bind,base
liquidsoap,base
registry,base
cpp,base
nginx,base
bind,base
docker,base
gitlab,base
nginx,base
owncloud,base
postgres,base
redis,base
web,nginx
redis,base
php-fpm,nginx
solr,docker-solr
docker,arch
