source,target
digitalangel.devices.datagenerator.webapp,aspnetcore
theballbase,aspnetcore
dotnetcoreweb,aspnetcore
server-side-gameboy,aspnetcore
aspnetcore-in-docker,aspnetcore
prosper,aspnetcore
srebot,aspnetcore
api-fundos,aspnetcore
acr-patch-sample-api,aspnetcore
authenticationapi,aspnetcore
docker,aspnetcore
aspnetcore-supervisor-filebeat,aspnetcore
cammorris.tech,aspnetcore
chathampolice,aspnetcore
districtattorney,aspnetcore
registry_viewer,aspnetcore
connectivity-checker,aspnetcore
dotnet-docker-samples,aspnetcore
sportsstore,aspnetcore
aspnetcore-app,aspnetcore
mapdiffbot,aspnetcore
webmail,aspnetcore
bootstrap-aspnetcore-starter,aspnetcore
dockerapp,aspnetcore
motiontelegramconnector,aspnetcore
triggmine.chatbot.core,aspnetcore
eatfaultapi,aspnetcore
faultapi,aspnetcore
queriesystemapi,aspnetcore
booksapi,aspnetcore
docker,aspnetcore
my-protected-aspnetcore-api,aspnetcore
lanchessw,aspnetcore
cloudflareheaders,aspnetcore
aspnetcore-in-docker,aspnetcore
ca_adpq_proto,aspnetcore
vkaiwadesigner,aspnetcore
signalr-core,aspnetcore
zoo-site2,aspnetcore
4432,aspnetcore
dotnetcore,aspnetcore
barilan,aspnetcore
barilanwebapi,aspnetcore
calculatorwebapi,aspnetcore
lf-tenant,aspnetcore
release_4.10,aspnetcore
easd-alert,aspnetcore
tm,aspnetcore
transactionsmanageridentityserver,aspnetcore
ebnetcore,aspnetcore
fabric.identity,aspnetcore
guardianslibrary,aspnetcore
docker-poc,aspnetcore
box-grader-main,aspnetcore
shop-cart,aspnetcore
coursemanager,aspnetcore
tanker-fronend-www,aspnetcore
students-api,aspnetcore
acerola,aspnetcore
castanha,aspnetcore
manga,aspnetcore
cassandra-integer-identifiers,aspnetcore
middleoffice,aspnetcore
cloudarchitecture.historianservice,aspnetcore
dotnet-core-portfolio,aspnetcore
bitbucket-jenkins-trigger,aspnetcore
library_rental_api,aspnetcore
hello-world,aspnetcore
pruebanetfram,aspnetcore
xtask-server,aspnetcore
yuanjing-identityserver4,aspnetcore
comment_y_aller,aspnetcore
app-core,aspnetcore
subscribeapi,aspnetcore
devkitapiauto,aspnetcore
aspnetcore-in-docker,aspnetcore
aspnetcoreapi,aspnetcore
averliekershomepage,aspnetcore
musicstore,aspnetcore
shoppingcartv1,aspnetcore
tim-code-client-mvc,aspnetcore
tim-code-hello-mvc,aspnetcore
weckertest,aspnetcore
eurodraw,aspnetcore
invokecommand-blog,aspnetcore
justpublishx,aspnetcore
someaspnetcoreapp,aspnetcore
simpletestfordocker,aspnetcore
netcoreapp,aspnetcore
projectrenamer-webapi,aspnetcore
mugbot,aspnetcore
checkout-service,aspnetcore
academia,aspnetcore
rcbenevoles,aspnetcore
cbs-vr-backend,aspnetcore
langbot,aspnetcore
jointheexpert-webday,aspnetcore
captureorderack-netcore,aspnetcore
filestorage-service,aspnetcore
identity-service,aspnetcore
bolt-jwt,aspnetcore
xmlcombiner,aspnetcore
contrails.api,aspnetcore
dotnet-dbg,aspnetcore
swastika-io,aspnetcore
creditcard-api,aspnetcore
user-api,aspnetcore
airbag,aspnetcore
assessmentsvc,aspnetcore
assessmetl,aspnetcore
automatedbuilddemo,aspnetcore
myfortuneapi,aspnetcore
randomnumberdemo,aspnetcore
dotnet_landingpage,aspnetcore
todo-backend-giraffe,aspnetcore
seed-dotnet,aspnetcore
icondiffbot,aspnetcore
mapdiffbot,aspnetcore
dotnethttpdevnull,aspnetcore
homeservices,aspnetcore
peopleservice,aspnetcore
todoapi,aspnetcore
sagas_and_legends_linux,aspnetcore
fordons,aspnetcore
helloworld,aspnetcore
kinectcosmosmicroservice,aspnetcore
darkstatscore,aspnetcore
ecareapiautodocker,aspnetcore
catnat-core,aspnetcore
spinnaker-dotnet-webapp-test,aspnetcore
contrails.api,aspnetcore
frontier,aspnetcore
test-repo,aspnetcore
http-nats-proxy,aspnetcore
kinodnes,aspnetcore
coreapplication-master-latest,aspnetcore
sahaware,aspnetcore
obsidian,aspnetcore
aspnetcore-gulp-bower,aspnetcore
party-invites,aspnetcore
helloworld,hello-world
