source,target
docker-socat,base-alpine
curl-timer,base-alpine
docker-rclone,base-alpine
simple-mail-forwarder,base-alpine
murmur,base-alpine
awscli,base-alpine
ffmpeg,base-alpine
java,base-alpine
mariadb,base-alpine
mongodb,base-alpine
nginx,base-alpine
nodejs,base-alpine
php,base-alpine
rsyslog,base-alpine
sftp,base-alpine
mattermost,base-alpine
vdirsyncer,base-alpine
acmetool,base-alpine
base-alpine-s6,base-alpine
debug-alpine,base-alpine
openjdk8-alpine,base-alpine
openjdk8-capsule,base-alpine
redis,base-alpine
tomcat,base-alpine
wildfly,base-alpine
alpine-nginx-php,base-alpine
base-caddy,base-alpine
dehydrated,base-alpine
alpine-nginx-php,base-alpine
gitea,base-alpine
nginx-ssl,base-alpine
unifi,base-alpine
elasticsearch,base-alpine
docker-cloud-cron,base-alpine
node,base-alpine
base-alpine-glibc,base-alpine
base-alpine-node,base-alpine
base-java,base-alpine
docktor,base-alpine
http-workqueue,base-alpine
rsync-store-client,base-alpine
rsync-store-server,base-alpine
s3-conf,base-alpine
tutum-cron,base-alpine
simple-mail-forwarder,base-alpine
docker-registry,base-alpine
es-k8s-logs-template,base-alpine
exit-container,base-alpine
filebeat,base-alpine
helm-bundle,base-alpine
k8s-installer,base-alpine
kibana-k8s-objects,base-alpine
ssl-certs-generator,base-alpine
docker-cloud-cron,base-alpine
louver,base-alpine
mesos-dns,base-alpine
alpine-gcloud,base-alpine
consul,base-alpine
couchbase-exporter,base-alpine
gocd-haproxy,base-alpine
haproxy,base-alpine
tinyproxy,base-alpine
toolbox,base-alpine
vizceral-aggregator,base-alpine
deluge,base-alpine
t411-torznab,base-alpine
resilio-sync,base-alpine
socat,base-alpine
slackirc-env,base-alpine
sopel,base-alpine
borg,base-alpine
taggo,base-alpine
simple-mail-forwarder,base-alpine
elasticsearch,java
wildfly,java
elasticsearch,java
php,nginx
nodejs,node
java,tomcat
tomcat,java
tomcat,java
elasticsearch,java
elasticsearch,java
elasticsearch,java
elasticsearch,java
nodejs,node
tomcat,java
t411-torznab,node
nginx-ssl,nginx
nodejs,node
tomcat,java
elasticsearch,java
tomcat,java
elasticsearch,java
elasticsearch,java
tomcat,java
nodejs,node
elasticsearch,java
node,redis
elasticsearch,java
tomcat,java
elasticsearch,java
elasticsearch,java
tomcat,java
elasticsearch,java
t411-torznab,node
nginx-ssl,nginx
tomcat,java
wildfly,java
elasticsearch,java
elasticsearch,java
filebeat,nginx
elasticsearch,java
wildfly,java
elasticsearch,java
elasticsearch,java
nodejs,node
nodejs,node
elasticsearch,java
php,nginx
nodejs,node
awscli,java
elasticsearch,java
nodejs,node
elasticsearch,java
tomcat,java
java,tomcat
elasticsearch,java
nginx-ssl,nginx
elasticsearch,java
elasticsearch,java
elasticsearch,java
tomcat,java
tomcat,java
nodejs,node
wildfly,java
nodejs,node
elasticsearch,java
elasticsearch,java
nodejs,node
tomcat,java
nodejs,node
elasticsearch,java
elasticsearch,java
elasticsearch,java
elasticsearch,java
elasticsearch,java
elasticsearch,java
t411-torznab,node
elasticsearch,java
wildfly,java
tomcat,java
elasticsearch,java
elasticsearch,java
php,nodejs
nginx-ssl,nginx
alpine-nginx-php,nginx
wildfly,java
nginx,node
nodejs,node
tomcat,java
elasticsearch,java
nodejs,node
nodejs,node
nodejs,node
mattermost,nginx
node,java
nodejs,node
elasticsearch,java
tomcat,java
tomcat,java
tomcat,java
mongodb,consul
elasticsearch,java
t411-torznab,node
elasticsearch,java
elasticsearch,java
wildfly,java
nodejs,node
elasticsearch,java
tomcat,java
tomcat,java
docktor,node
nodejs,node
elasticsearch,java
elasticsearch,java
tomcat,java
nodejs,node
tomcat,java
elasticsearch,java
elasticsearch,java
tomcat,java
unifi,java
nodejs,node
nodejs,node
nodejs,node
nodejs,node
nodejs,node
