source,target
forte-core-build,buildpack-deps
gdcm,buildpack-deps
simit,buildpack-deps
nginx-streaming,buildpack-deps
masscan,buildpack-deps
rancher-cli,buildpack-deps
rancher-compose-tools,buildpack-deps
node-xenial,buildpack-deps
oracle-freight,buildpack-deps
infer,buildpack-deps
pypy,buildpack-deps
docker-oracle-xe-11g,buildpack-deps
nginx-image-server,buildpack-deps
dbase,buildpack-deps
influxdata-docker,buildpack-deps
docker-node-6.10.2,buildpack-deps
docker-node,buildpack-deps
docker-fsharp,buildpack-deps
ubuntu-ruby,buildpack-deps
kudu,buildpack-deps
kudu,buildpack-deps
influxdb-auto,buildpack-deps
hover,buildpack-deps
middleware,buildpack-deps
conanclang,buildpack-deps
erlang,buildpack-deps
docker-node-jdk-chrome-firefox,buildpack-deps
pageres,buildpack-deps
ruby2.3.1,buildpack-deps
influxdb-docker,buildpack-deps
golang,buildpack-deps
hoodoo,buildpack-deps
node-ruby-rsync,buildpack-deps
rsync,buildpack-deps
chefdk,buildpack-deps
esi-tfg,buildpack-deps
storemeta,buildpack-deps
php-fpm-consul,buildpack-deps
tomcat-consul,buildpack-deps
docker-loopback,buildpack-deps
node-chrome-firefox,buildpack-deps
clang-docker,buildpack-deps
node,buildpack-deps
drupal-base,buildpack-deps
jekyll-website,buildpack-deps
artanis,buildpack-deps
docker-node-python,buildpack-deps
node,buildpack-deps
bh-frontend,buildpack-deps
docker-java8-chrome-xvfb,buildpack-deps
bitbucket-node-python-docker,buildpack-deps
faas,buildpack-deps
drone-rails-postgres-redis-node-and-phantomjs,buildpack-deps
cotila-base,buildpack-deps
go-watcher,buildpack-deps
go-tip,buildpack-deps
nginx-newrelic,buildpack-deps
docker-srs_ingest_rtmp,buildpack-deps
docker-python3.6,buildpack-deps
app,buildpack-deps
docker-polymer-cli,buildpack-deps
python-wheezy,buildpack-deps
ruby-wheezy,buildpack-deps
docker-tox,buildpack-deps
terraform,buildpack-deps
oauth2-proxy,buildpack-deps
dockerize,buildpack-deps
ruby,buildpack-deps
dotnet,buildpack-deps
circleci-primary,buildpack-deps
docker-images,buildpack-deps
docker-chrome,buildpack-deps
mipschrome,buildpack-deps
xenial,buildpack-deps
ruby,buildpack-deps
