source,target
nodejs-dockedr-test,centos
centos7-systemd,centos
bbcp,centos
prelude-siem,centos
ocs-inventory,centos
oracle,centos
php,centos
companywebsite,centos
mirage-toolchain,centos
pluralsight-docker-ci-master,centos
pluralsightapp,centos
swiss-knife,centos
dockersample1,centos
docker-demo,centos
testrepoforcidemo,centos
golang-16-centos7,centos
duckpan,centos
starbound,centos
starbound-gog,centos
supervisor-httpd-vsftpd,centos
pluralsight-docker-ci,centos
translate-shell,centos
old-app,centos
centos6-jenkins,centos
docker-whmcs,centos
cloudera-director,centos
anchor-packages,centos
fabric8-gemini-server,centos
adop-jenkins-slave,centos
docker-alfresco,centos
pluralsight-docker-ci,centos
plural-sight-docker-ci,centos
pen,centos
passenger_ruby2.3.0,centos
passenger_ruby2.3.1,centos
passenger_ruby2.3.1_awscli,centos
passenger_ruby2.4.1,centos
atlassian-bamboo-agent,centos
stress-tools,centos
docker-ci,centos
olympia,centos
docker-with-ci-dog,centos
docker-ci,centos
jenkins-slave,centos
centosnodeoracle,centos
ganglia,centos
cinodejstest,centos
kafka-manager,centos
bosapi,centos
bosweb,centos
copy-yum-repo,centos
rally-centos,centos
centos6,centos
bad-dockerfile,centos
docker-register,centos
centos7,centos
vsftpd,centos
digger-android-sdk-image,centos
mobile-sdk,centos
docker-tinydns,centos
chouette2,centos
apache-ssl-proxy,centos
flash,centos
centos-systemd,centos
clonetocloud,centos
duplicity-backup,centos
pluralsight-docker-ci,centos
duplicity,centos
fakesystemd,centos
tcl,centos
docker-nginx-php71-casperjs,centos
nginx-php56,centos
nginx-php71,centos
pluralsight-docker-ci,centos
cloudera-director,centos
django-nginx-uwsgi,centos
nginxredirect,centos
apache-mod-mruby,centos
sixpack,centos
docker-nodejs-bower-gruntcli,centos
example-dockerfile,centos
otrs-itsm_auto,centos
wrends,centos
docker-centos7-salt-minion,centos
docker-wordpress,centos
ruby-centos6,centos
curator_30d,centos
beeline,centos
idrive,centos
net-perf,centos
packaging,centos
sftp-centos,centos
ttrss,centos
centos6-isp5lite,centos
centos7-isp5lite,centos
