source,target
docker-python3,docker-base
factual-docker-nodejs,docker-base
factual-docker-rvm-base,docker-base
docker-broadcaster,docker-base
docker-fullstack-web,docker-base
docker-nginx,docker-base
docker-postgis,docker-base
boss-docker-python3,docker-base
docker-pandas,docker-base
docker-kerberos,docker-base
bind9,docker-base
docker-base-java,docker-base
docker-base-oracle-java,docker-base
docker-marathon-haproxy,docker-base
docker-mariadb-10.0-galera,docker-base
docker-mesos-dns,docker-base
docker-nginx-securish,docker-base
docker-openstack-database,docker-base
docker-openstack-messaging,docker-base
isc-dhcp,docker-base
s3-backed-ftp,docker-base
docker-sinopia,docker-base
atlassian-jira,docker-base
docker-jdk,docker-base
docker-mariadb,docker-base
docker-python3,docker-base
docker-data,docker-base
docker-fpm,docker-base
docker-nginx,docker-base
docker-ruby,docker-base
docker-java-jre8,docker-base
docker-nginx,docker-base
docker-nodejs-extras,docker-base
docker-php,docker-base
toroxy,docker-base
docker-draw,docker-base
docker-image-take-down,docker-base
docker-java,docker-base
docker-sinopia,docker-base
docker-fisheye,docker-base
docker-base-java,docker-base
docker-bind,docker-base
docker-consul,docker-base
docker-haproxy,docker-base
docker-nginx-basic-auth-proxy,docker-base
docker-puma,docker-base
mailcatcher-docker,docker-base
odania-admin,docker-base
odania-core,docker-base
odania-static,docker-base
passenger-docker,docker-base
bef-db,docker-base
docker-collectd,docker-base
docker-grafana,docker-base
docker-graphite,docker-base
docker-heka,docker-base
docker-influxdb,docker-base
docker-rabbitmq,docker-base
docker-ledger,docker-base
docker-artisan,docker-base
docker-beanstalkd,docker-base
docker-lumen,docker-base
haproxy,docker-base
docker-build-essentials,docker-base
oracle-java8,docker-base
oracle-java9,docker-base
deployment-webhook,docker-base
mongo-base,docker-base
postgres-base,docker-base
g-streaming,docker-base
globallometree,docker-base
docker-ecs-deployment,docker-base
docker-nginx-cachet,docker-base
docker-unicifs,docker-base
mysqldump-to-s3,docker-base
java7,docker-base
java8,docker-base
lets-nginx,docker-base
sap-jvm8,docker-base
socat,docker-base
docker-java-jdk,docker-base
docker-supervisord,docker-base
nightly-gcc-trunk-docker-image,docker-base
docker-php,docker-nginx
docker-php,docker-nginx
docker-ruby,docker-java
