source,target
ferret-docker,java
javahelloworld_prod,java
javahelloworld1,java
docker-swagger-codegen-git-push,java
3ap-status-board,java
drupal-solr,java
ant,java
docker-keybox,java
hello-ippon,java
universal-ftb-server,java
iot-kafka,java
prokka,java
seqtool,java
javahelloworld-prod,java
javahelloworld-prod,java
javameetsdocker,java
javahelloworld_prod,java
flyway-mysql,java
docker-joshua-decoder,java
lakitu,java
javaworld,java
java-maven,java
docker-sauce-connect,java
spagobi,java
wisemapping,java
taxiproducer,java
docker-sonarqube,java
docker-mycat,java
gitlab-sonar-runner,java
blog,java
activemq-postgres-jdbc3-docker,java
docker-sbt,java
seyren,java
elasticsearch,java
elasticsearch2,java
docker-solr,java
sonar-scanner,java
vertx3-info-server,java
flyway,java
wildfly,java
keybox,java
spring-swagger,java
elasticsearch,java
exec-jar-from-url,java
sigma-ms-user,java
confluent-kafka-base,java
confluent-kafka-rest,java
confluent-schema-registry,java
datomic,java
mysql-flyway-docker,java
javahelloworld_prod,java
logstash,java
sonarscanner,java
hello-ippon,java
play-server,java
pithos-quickstart,java
docker-mirthconnect,java
helloworld,java
zookeeper,java
cdh5-docker,java
jenkins-slave,java
kafka,java
bamboo-agent,java
bamboo-agent-java8,java
client,java
primenumber,java
server,java
hellodocker,java
redpen,java
redpen-server,java
springdatajparest,java
heyajava,java
mavenpetcliniproject,java
hap-todo,java
lens-warehouse,java
lens-workbook,java
test18180,java
zookeeper-dynamic,java
javahelloworld_prod,java
pipeline-kafka,java
twofish,java
minecraft,java
dind-jenkins-slave,java
spago,java
spagobi2,java
docker-kafka,java
dockerfile-nifi-utils,java
nifi-ldap,java
sonatype-nexus-docker,java
javahelloword,java
marathon-rabbitmq-autoscale,java
stubby4j-docker,java
javahelloworld,java
javahelloworld_prod,java
docker-phpstorm,java
docker-teamcity-agent,java
docker-teamcity-server,java
java-sbt,java
typesafe-activator,java
microservices-spring-boot-base,java
docker-logstash-w-extras,java
es-pusher,java
stravinski,java
ubuntu-gradle-ci,java
tesseract-java,java
backend-demo,java
docker-java,java
java-fuse,java
docker-opc-karaf,java
todomanager,java
ant,java
docker-nightwatch,java
hermes-consumers,java
hermes-frontend,java
hermes-management,java
jetty,java
flume,java
teamcity-agent,java
upsource,java
docker-pentaho-di,java
elk,java
elk-ir,java
pollen,java
pollen.bundles,java
performance-tester,java
sidewinder,java
javahelloworld_prod,java
testjavaproject,java
javahelloworld,java
docker-allure2,java
javahelloworld1,java
zookeeper,java
helloword,java
kafka,java
solr,java
elasticmq,java
elasticsearch-lire,java
mule,java
mule-ee,java
chuck-norris-client,java
aem,java
schemaspy-postgres,java
docker-jmeter,java
google-pubsub-emulator,java
kafka,java
dockerized-mysql-plugin,java
newrelic-mysql-plugin,java
hello-world,java
route-planner,java
dockerautobuild1,java
javahelloworld_prod,java
anirban-mule,java
spring-data-rest,java
spring-data-rest-demo,java
docker-smppsim,java
terracotta-server-oss,java
football-teams,java
activemq-jmx,java
medicinescheduledocker,java
sbt-alpine,java
fineract-base,java
nifi,java
hello-ippon,java
solr,java
meteor-jenkins-slave,java
tomcat,java
nomad-prestodb,java
tomcat,java
jenkins-swarm-slave,java
dockertest,java
gvm,java
jenkins-node-jnlp,java
docker-client,java
geoserver,java
kernel,java
netbeans,java
nexus,java
jdownloader2,java
nis-ssl,java
nozomi,java
searchcode-server-community,java
javahelloworld_prod,java
docker_openrefine,java
javahelloworld_prod,java
bamboo-agent,java
bamboo-server,java
scala-sbt,java
javahelloworld2,java
breakerbox,java
articulate-java,java
elasticsearch,java
logstash,java
sbt.docker,java
javahelloworld,java
sos-jobscheduler-docker,java
docker-grobid-service,java
javaquestions,java
activator-1.3.10,java
logstash-s3,java
collaborator-docker-elsticsearch,java
elasticsearch,java
javahelloworld,java
mesos,java
javahelloworld-yth,java
ebth-bid-values-spark,java
