source,target
ot-java-jprofiler-linux,java8
turbine,java8
hadoop-ha-docker,java8
henplus,java8
ib-gateway,java8
go-agent,java8
elasticsearch,java8
logstash,java8
banner9-admin,java8
banner9-selfservice,java8
xp-app,java8
elk,java8
dynamodb,java8
ant,java8
cas,java8
teamcity-agent,java8
tomcat8,java8
dholiwood.com,java8
jainishshah,java8
jainishshah.com,java8
zookeeper-exhibitor,java8
ib-gateway,java8
teamcity-server,java8
cargo8,java8
wildfly8,java8
tomcat8-java8,java8
amc-docker,java8
mythings,java8
ffmpeg,java8
teamcityagent-common,java8
youtrack,java8
docker-ib,java8
stratio-cassandra-ds-agent,java8
docker-java8-image-magick,java8
logstasho,java8
swagen,java8
aiko,java8
cassandra,java8
elasticsearch,java8
kafka,java8
spark,java8
zookeeper,java8
aiko,java8
geoserver,java8
turbine,java8
jdk-buildbox,java8
docker-ubuntu-dev,java8
activemq,java8
maven3,java8
tomcat8,java8
java8_maven,java8
presto,java8
jmeter,java8
teamcity-agent,java8
tomcat8,java8
tomcat8,java8
tomcat7,java8
graylog2-docker,java8
kafka-monitor,java8
java8-scala-sbt,java8
glassfish4,java8
wildfly10,java8
wildfly8,java8
opacapp-ci,java8
kotlin,java8
mvn,java8
gradle,java8
apache-tomcat8,java8
asciidoctor,java8
dynamodb,java8
fakes3,java8
activator,java8
flyway,java8
activator,java8
docker-activator,java8
docker-activator-min,java8
docker-sbt,java8
chrome-node-js,java8
firefox-node-js,java8
yeoman,java8
dynamodb,java8
jenkins,java8
dev-base,java8
nexus,java8
cseg,java8
kafka,zookeeper
banner9-admin,tomcat8
banner9-selfservice,tomcat8
elk,elasticsearch
elk,elasticsearch
elk,logstash
docker-activator,activator
