source,target
zonemaster-gui,opensuse
blinux,opensuse
dialog,opensuse
ceph-docker,opensuse
docker-backup,opensuse
openvpn-route-self,opensuse
source-broadcast-proxy,opensuse
source-server-fake,opensuse
opensuse42.1_ibm8_liberty16.0.0.3,opensuse
blinux,opensuse
docker-php-opensuse,opensuse
base,opensuse
nspawn-toolbox,opensuse
powersuse,opensuse
blinux,opensuse
docker-owncloud-client-win32,opensuse
opensuse-leap,opensuse
sauerbraten,opensuse
teeworlds,opensuse
java,opensuse
opensuse-base-minion,opensuse
espresso-opensuse,opensuse
ashscan,opensuse
docker-owncloud-client-win32,opensuse
owncloud-client-win32,opensuse
caasp,opensuse
trial,opensuse
docker-opensuse-java,opensuse
guestbook,opensuse
terragear,opensuse
ansible,opensuse
docker-owncloud-client-win32,opensuse
phabricator,opensuse
systemd-none,opensuse
teamviewer,opensuse
znc,opensuse
docker-yast2-devel,opensuse
wsman,opensuse
hana-express,opensuse
mythsuse,opensuse
playground,opensuse
docker-coala-base,opensuse
mono-hosting-wcf,opensuse
ansible,opensuse
bash,opensuse
bind,opensuse
curl,opensuse
docker,opensuse
git,opensuse
go,opensuse
mono,opensuse
nginx,opensuse
openjdk,opensuse
python,opensuse
ruby,opensuse
wget,opensuse
xmllint,opensuse
openstack-health-subunit2sql,opensuse
opensuse-ci,opensuse
opensuse-go,opensuse
machinery,opensuse
cs-engine-downloader,opensuse
suse12-build,opensuse
shadowsocks-libev,opensuse
mariadb,opensuse
nginx,opensuse
mmex_build_env,opensuse
zonemaster-gui,opensuse
zonemaster-gui-main,opensuse
docker-hana,opensuse
updated_13_2,opensuse
base,opensuse
etcd,opensuse
salt-api,opensuse
salt-master,opensuse
salt-minion,opensuse
vetulus,opensuse
kitex,opensuse
ldap-client,opensuse
ldap-docker,opensuse
munin-docker,opensuse
opensuse-gfortran,opensuse
gearsongallium-docker,opensuse
obsworker,opensuse
phabricator,opensuse
leap-systemd,opensuse
glassfish,opensuse
samba,opensuse
squid,opensuse
nih-fmrif-rtafni,opensuse
nginx-docker,opensuse
coprhd-runtime,opensuse
opendavinci-opensuse-13.2,opensuse
opendavinci-opensuse-42.1,opensuse
containers,opensuse
pandoc-opensuse,opensuse
lilypond,opensuse
agent,opensuse
web,opensuse
opensuse-nonsystemd,opensuse
docker-gcc-bisect,opensuse
docker-docbook,opensuse
npm-angular,opensuse
phabricator,opensuse
opensuse-development,opensuse
dshell-docker,opensuse
coprhd-base,opensuse
packpack,opensuse
couchbase-query-workbench,opensuse
opensuse42.1_ibm8_liberty16.0.0.3,opensuse
phabricator,opensuse
base,python
nginx,base
nginx,base
samba,base
glassfish,openjdk
web,base
web,nginx
python,base
ruby,base
java,base
java,base
ruby,base
base,python
docker,java
ruby,base
web,nginx
git,base
nginx,base
go,base
glassfish,java
nginx,base
python,base
znc,base
docker,nginx
playground,docker
ansible,python
web,nginx
java,openjdk
web,ruby
ansible,base
base,java
ansible,base
mariadb,base
nginx,base
java,openjdk
base,python
ceph-docker,base
nginx-docker,nginx
go,base
python,base
web,ruby
glassfish,openjdk
ansible,python
nginx-docker,nginx
nginx,base
nginx-docker,nginx
ansible,python
nginx,base
nginx,base
phabricator,systemd-none
base,python
java,openjdk
machinery,docker
git,base
java,openjdk
docker,python
docker,openjdk
java,base
java,openjdk
nginx,base
docker,ruby
base,openjdk
web,python
ruby,base
mariadb,base
salt-minion,docker
java,base
nginx,base
ruby,nginx
ansible,python
ansible,python
go,base
java,base
mariadb,base
nginx,base
docker,nginx
ruby,base
python,base
ansible,python
web,base
docker,java
ruby,base
docker,python
nginx-docker,nginx
glassfish,openjdk
ansible,python
glassfish,java
base,ruby
glassfish,java
base,ruby
docker,openjdk
phabricator,systemd-none
base,ruby
web,base
ansible,python
guestbook,python
containers,python
glassfish,java
python,base
ruby,nginx
ceph-docker,base
docker,nginx
docker,ruby
java,base
ansible,python
glassfish,openjdk
ansible,base
base,ruby
nginx-docker,nginx
bind,base
nginx,base
java,base
ruby,base
mariadb,base
bash,ruby
java,openjdk
openjdk,base
ansible,python
nginx-docker,nginx
java,openjdk
docker,java
mariadb,base
docker,openjdk
web,nginx
docker,ruby
nginx,base
web,java
ansible,python
web,base
wget,bash
web,nginx
go,base
python,base
agent,python
python,base
ruby,base
java,base
ruby,base
base,java
curl,base
docker,openjdk
glassfish,java
git,base
nginx,base
ansible,python
docker,openjdk
ansible,python
mariadb,base
java,base
java,openjdk
base,ruby
git,base
web,python
python,base
docker,python
java,base
ruby,base
glassfish,openjdk
nginx,base
nginx,base
docker,python
web,nginx
bind,base
ruby,base
ruby,base
nginx,base
curl,base
git,base
mariadb,base
java,base
docker,java
ansible,python
bind,base
docker,base
java,base
mariadb,base
nginx,base
ruby,base
squid,base
web,nginx
ansible,python
mariadb,base
nginx-docker,nginx
docker,java
web,ruby
ansible,python
mariadb,base
docker,python
