source,target
docker-spark,spark
spark-anaconda,spark
caffeonspark_auto,spark
griffin-base-env,spark
apache-zeppelin,spark
pyspark,spark
spark-cassandra,spark
zeppelin,spark
auger-ml-builder,spark
docker-zeppelin-r,spark
zeppelin,spark
docker-eclairjs,spark
outlierdetection,spark
avocado,spark
zeppelin,spark
logisland,spark
pybase,spark
bio,spark
bowtie,spark
sparkit-learn-docker,spark
zeppelin,spark
spark-anaconda,spark
gnocchi,spark
kylo_docker,spark
spark-anaconda,spark
executor,spark
shuffle,spark
spark-shell,spark
iot-demo,spark
docker-zeppelin,spark
spark-jobserver-0.6.2,spark
zeppelin,spark
nssift,spark
docker-zeppelin,spark
becky,spark
pyspark,spark
spark-mongo-client,spark
spark-mongo-master,spark
spark-mongo-worker,spark
adam,spark
zeppelin,spark
livy,spark
rancher-zeppelin,spark
docker-zeppelin,spark
provesense-ingest,spark
zeppelin,spark
zeppelin,spark
spark-1.5.2_v1,spark
zeppelin,spark
jupyter.notebook,spark
spark.with-packages,spark
zeppelin-docker,spark
zeppelin,spark
mesos,spark
spark-drools,spark
kylin,spark
docker-zeppelin,docker-spark
