source,target
tomcat-volumes-exposed,tomcat
netflix-eureka,tomcat
springboot-tapestry-cucumber-selenium-testng,tomcat
3dscandocker,tomcat
firstgitproj,tomcat
tomcat-redis,tomcat
guacamole-docker,tomcat
geoserver,tomcat
view-tomcat,tomcat
aditomobile,tomcat
java-api-base,tomcat
booking-mvc,tomcat
dubbo-admin,tomcat
tomcat-ssl,tomcat
artifactory,tomcat
pic-gitlabci-battlecsn-tomcat,tomcat
java,tomcat
jaspersrv,tomcat
openidconnect,tomcat
axis2,tomcat
angryquiz,tomcat
lfmc-geoserver,tomcat
aon-application,tomcat
geoserver,tomcat
docker-guacamole,tomcat
mariohtml5,tomcat
libreplan,tomcat
dlt-target,tomcat
lucee-base,tomcat
jnuget-docker,tomcat
letsencrypt-tomcat,tomcat
docker-jasperserver-master,tomcat
jentrata-msh-docker,tomcat
jasperserver,tomcat
alpine-tomcat,tomcat
banner9-admin,tomcat
banner9-selfservice,tomcat
clavin-compile,tomcat
isle-fedora,tomcat
isle-solr,tomcat
guacamole-docker,tomcat
irods-cloudbrowser-backend,tomcat
molgenis,tomcat
openspecimen,tomcat
phenotips,tomcat
stategraems,tomcat
xnatweb,tomcat
docker-logicaldoc,tomcat
hazelcast-docker,tomcat
hazelcast-session-replication,tomcat
caroweb,tomcat
m2cat,tomcat
webcat,tomcat
webserver,tomcat
authzforce,tomcat
cep-proton,tomcat
maven-prod,tomcat
opengrok,tomcat
apache-marmotta,tomcat
spring-petclinic,tomcat
docker-knowledge,tomcat
pentapus,tomcat
lucee-tomcat,tomcat
idsw-portal,tomcat
appgastos,tomcat
fedoracommons,tomcat
osiam-simple,tomcat
geoserver,tomcat
tomcat-logback,tomcat
xwiki,tomcat
fits_webservice,tomcat
sho-bows-server,tomcat
opengrok,tomcat
castlemock,tomcat
docker-fcrepo4,tomcat
fcrepo4,tomcat
ohmage,tomcat
ohmage7,tomcat
4trest,tomcat
docker-practice,tomcat
incubator-guacamole-client,tomcat
dubbo-admin,tomcat
pruebaconjunta,tomcat
openam-nightly,tomcat
docker,tomcat
alpine-jasperserverce-oracle,tomcat
alpine-ords-apex,tomcat
fedora,tomcat
sample,tomcat
eureka,tomcat
jstorm-ui-2.2.1,tomcat
geoserver,tomcat
pgstudio,tomcat
potage,tomcat
potage,tomcat
oxywebauthor-d4st,tomcat
dock-primesui,tomcat
tomcat-agent-bond,tomcat
sample-tomcat,tomcat
guacamole-webserver,tomcat
voyant,tomcat
subsonic,tomcat
catalog-fgdc2iso,tomcat
guacamole-docker,tomcat
pinpoint-collector,tomcat
pinpoint-web,tomcat
datalift_with_rdf4j,tomcat
cloudworkflow,tomcat
salesforce-database-replication,tomcat
secured-tomcat,tomcat
ice_iloop,tomcat
tomcat-compose,tomcat
guacamole-webserver,tomcat
projektron,tomcat
jasperserver,tomcat
tomcat-ssl,tomcat
passport-webapp,tomcat
calculator-service,tomcat
halyard,tomcat
scoreboard.contreg,tomcat
jackrabbit,tomcat
downloadfile,tomcat
tomcat-helloworld,tomcat
birt-viewer,tomcat
geonetwork-2,tomcat
bad-java-app,tomcat
