source,target
cf-ubuntu-16,ubuntu-base
nimbix-app,ubuntu-base
p_ns,ubuntu-base
ubuntu-go,ubuntu-base
ubuntu-nginx-php,ubuntu-base
ubuntu-nodejs,ubuntu-base
pocketmine,ubuntu-base
k8s-config-loader,ubuntu-base
k8s-rabbitmq-nodes,ubuntu-base
docker-carbon,ubuntu-base
ubuntu-base-ui,ubuntu-base
ubuntu-jdk,ubuntu-base
ubuntu-java8,ubuntu-base
ubuntu-platformio,ubuntu-base
ubuntu-ruby,ubuntu-base
php,ubuntu-base
cacti,ubuntu-base
gollum,ubuntu-base
squid,ubuntu-base
squid-open,ubuntu-base
docker-arm-linux-gnueabihf,ubuntu-base
tensorflow,ubuntu-base
common,ubuntu-base
tensorflow-jupyter-nimbix-ubuntu,ubuntu-base
builder,ubuntu-base
ubuntu-dovecot,ubuntu-base
ubuntu-postfix,ubuntu-base
ubuntu-spamassassin,ubuntu-base
ubuntu-base-oracle-java,ubuntu-base
ubuntu-zombiejs,ubuntu-base
wiremock,ubuntu-base
sabnzbd,ubuntu-base
sickbeard,ubuntu-base
simc,ubuntu-base
ruby-install,ubuntu-base
beaver,ubuntu-base
boom,ubuntu-base
couchdb,ubuntu-base
java,ubuntu-base
mysql-client,ubuntu-base
mysql-server,ubuntu-base
nginx,ubuntu-base
node,ubuntu-base
redis,ubuntu-base
mesos-base,ubuntu-base
mesos-dns,ubuntu-base
boar-data,ubuntu-base
carbon-cache,ubuntu-base
icinga2ido,ubuntu-base
icingaweb2,ubuntu-base
mingw,ubuntu-base
nextcloud,ubuntu-base
safechat,ubuntu-base
vsftpd,ubuntu-base
gearman,ubuntu-base
fio,ubuntu-base
carbon,ubuntu-base
docker-grafana,ubuntu-base
elasticsearch-curator,ubuntu-base
hera-config-synchronizer,ubuntu-base
kibana,ubuntu-base
nginx,ubuntu-base
sensu,ubuntu-base
sensu-client,ubuntu-base
web-screenshoter,ubuntu-base
execbeat,ubuntu-base
git-cloner-base,ubuntu-base
glusterfs-client,ubuntu-base
ubuntu-docker,ubuntu-base
ubuntu-openjdk-8-jdk,ubuntu-base
ubuntu-oracle-8-jdk,ubuntu-base
zip-cloner-base,ubuntu-base
ubuntu-golang,ubuntu-base
ubuntu-perl,ubuntu-base
mesos-dns,ubuntu-base
plexpy,ubuntu-base
radarr,ubuntu-base
sonarr,ubuntu-base
yocto,ubuntu-base
memesuite,ubuntu-base
basic-sensu,ubuntu-base
basic-sensu-client,ubuntu-base
oracle-java8,ubuntu-base
consul,ubuntu-base
mongodb,ubuntu-base
nginx,ubuntu-base
nodejs,ubuntu-base
rabbitmq,ubuntu-base
xenial-arm64,ubuntu-base
xenial-armhf,ubuntu-base
xenial-i386,ubuntu-base
zesty-amd64,ubuntu-base
zesty-i386,ubuntu-base
arm-linux-gnueabihf,ubuntu-base
docker-warden-build,ubuntu-base
ubuntu-native-build,ubuntu-base
s6-ruby2.1,ubuntu-base
hbase,ubuntu-base
android-sdk-lite,ubuntu-base
dnscrypt-proxy-blacklist,ubuntu-base
spideroakone,ubuntu-base
sencha6,ubuntu-base
audiostreamer,ubuntu-base
apt-cacher-ng,ubuntu-base
devpi-server,ubuntu-base
grafana,ubuntu-base
influxdb,ubuntu-base
keepalived,ubuntu-base
nginx,ubuntu-base
powerdns-admin,ubuntu-base
powerdns-mysql,ubuntu-base
sensu-base,ubuntu-base
telegraf,ubuntu-base
ubuntu-java,ubuntu-base
ubuntu-ssh,ubuntu-base
utilities,ubuntu-base
uwsgi-python2,ubuntu-base
uwsgi-python3,ubuntu-base
consul-agent,ubuntu-base
consul-ui,ubuntu-base
consul-agent,consul
php,nginx
nodejs,node
kibana,nginx
docker-grafana,grafana
consul-agent,consul
kibana,nginx
sensu-client,sensu
nextcloud,php
kibana,node
nodejs,node
nextcloud,php
consul-agent,consul-ui
nodejs,node
builder,node
kibana,nginx
consul-agent,consul
nextcloud,php
wiremock,java
php,common
redis,common
nodejs,node
utilities,node
sensu-client,sensu
node,redis
kibana,node
rabbitmq,nginx
nginx,ubuntu-ssh
nodejs,ubuntu-ssh
kibana,nginx
kibana,java
docker-grafana,grafana
kibana,java
cacti,nginx
nodejs,node
consul-agent,consul
nodejs,node
nextcloud,php
nextcloud,php
php,nginx
consul-agent,consul
ubuntu-go,java
nodejs,node
nodejs,node
nodejs,common
nextcloud,php
builder,node
kibana,nginx
nodejs,node
nodejs,node
nextcloud,php
docker-grafana,grafana
nodejs,node
carbon-cache,carbon
nodejs,node
icingaweb2,php
kibana,nginx
consul-agent,consul
grafana,nginx
cacti,php
kibana,nginx
php,nodejs
nginx,node
nodejs,node
hbase,java
nextcloud,php
nodejs,node
nodejs,node
nodejs,node
node,java
nodejs,node
icingaweb2,php
builder,node
docker-grafana,grafana
cacti,php
mongodb,consul
rabbitmq,consul
nextcloud,php
nodejs,node
kibana,java
wiremock,java
nextcloud,php
nodejs,node
wiremock,java
nodejs,node
docker-grafana,grafana
grafana,nginx
cacti,php
sensu-client,sensu-base
nodejs,node
consul-agent,consul
nodejs,node
nodejs,node
nodejs,node
sensu-client,sensu-base
nginx,consul-agent
nodejs,consul-agent
consul-agent,consul
hbase,java
docker-grafana,grafana
nodejs,node
nextcloud,php
