source,target
aeroocker,ubuntu-debootstrap
chefdk,ubuntu-debootstrap
docker-kitchen,ubuntu-debootstrap
lightweight-mailcatcher,ubuntu-debootstrap
trusty,ubuntu-debootstrap
buildpack_deps,ubuntu-debootstrap
adminer,ubuntu-debootstrap
gearman-server,ubuntu-debootstrap
laravel-php-fpm,ubuntu-debootstrap
mapserver-osm-mapnik-reunion,ubuntu-debootstrap
node-ubuntu,ubuntu-debootstrap
deis-builder-nossl,ubuntu-debootstrap
ubuntu-s6-base,ubuntu-debootstrap
adminer,ubuntu-debootstrap
b3,ubuntu-debootstrap
btsync,ubuntu-debootstrap
mediawiki-nginx,ubuntu-debootstrap
mini-dinstall,ubuntu-debootstrap
nfs-server,ubuntu-debootstrap
openvas,ubuntu-debootstrap
owncloud,ubuntu-debootstrap
rsyslog,ubuntu-debootstrap
squid,ubuntu-debootstrap
uhub,ubuntu-debootstrap
verlihub,ubuntu-debootstrap
wordpress-nginx,ubuntu-debootstrap
ansible,ubuntu-debootstrap
omaha-server-base,ubuntu-debootstrap
openhab2,ubuntu-debootstrap
ubuntu-awscli-java,ubuntu-debootstrap
adminer,ubuntu-debootstrap
cedarish32bit,ubuntu-debootstrap
cedarish,ubuntu-debootstrap
kontena-loadbalancer,ubuntu-debootstrap
emdocker,ubuntu-debootstrap
openhab-docker,ubuntu-debootstrap
openhab-docker,ubuntu-debootstrap
cedar,ubuntu-debootstrap
mopidy,ubuntu-debootstrap
docker-jackett,ubuntu-debootstrap
openhab2-docker,ubuntu-debootstrap
cedar,ubuntu-debootstrap
base,ubuntu-debootstrap
riemann-tools,ubuntu-debootstrap
cedar,ubuntu-debootstrap
openhab-docker,ubuntu-debootstrap
docker-nodejs,ubuntu-debootstrap
mruby-cli,ubuntu-debootstrap
android-emulator,ubuntu-debootstrap
segmenter,ubuntu-debootstrap
streamer,ubuntu-debootstrap
ubuntu-pii,ubuntu-debootstrap
duplicity,ubuntu-debootstrap
docker-brocade-vtm,ubuntu-debootstrap
docker-ubuntu-s6-base,ubuntu-debootstrap
cedarish,ubuntu-debootstrap
node-base,ubuntu-debootstrap
redis,ubuntu-debootstrap
adminer,ubuntu-debootstrap
jackett,ubuntu-debootstrap
aeroocker,ubuntu-debootstrap
cedarish,ubuntu-debootstrap
adminer,ubuntu-debootstrap
docker-ubuntu-open-exchange,ubuntu-debootstrap
docker-ubuntu-sharelatex,ubuntu-debootstrap
dcm-convert,ubuntu-debootstrap
dockersupervisorgearman,ubuntu-debootstrap
lodbrok,ubuntu-debootstrap
lodbrok-docker-haproxy,ubuntu-debootstrap
docker-ubuntubase,ubuntu-debootstrap
base-platform,ubuntu-debootstrap
puzzle,ubuntu-debootstrap
scientific-python-3.5,ubuntu-debootstrap
scientific-python-3.5-mkl,ubuntu-debootstrap
retroarch,ubuntu-debootstrap
waifu2x,ubuntu-debootstrap
fingertips_dockerfile,ubuntu-debootstrap
dcm-convert,ubuntu-debootstrap
mcr-v81,ubuntu-debootstrap
mcr-v82,ubuntu-debootstrap
mcr-v84,ubuntu-debootstrap
mcr-v90,ubuntu-debootstrap
cedarish,ubuntu-debootstrap
rbenv,ubuntu-debootstrap
docker-ubuntu-open-exchange-imap,ubuntu-debootstrap
redis,base
redis,base
btsync,base
jackett,base
redis,trusty
redis,base
ansible,base
ansible,base
redis,base
redis,base
redis,base
redis,base
redis,base
redis,base
redis,base
jackett,ansible
rbenv,base
btsync,base
btsync,base
mopidy,base
gearman-server,base
redis,base
redis,base
owncloud,base
redis,base
ansible,base
redis,base
node-base,base
redis,base
btsync,base
rsyslog,base
owncloud,base
redis,base
squid,base
redis,base
node-base,base
