source,target
kafka-connect,alpine-java
kafka-connect-es,kafka-connect
jenkins-cli,alpine-java
crushftp,alpine-java
jira-base,alpine-java
jira,jira-base
jira-service,jira
apio-whiteboard,alpine-java
alluxio-cluster,alpine-java
fastqc,alpine-java
trim-galore,fastqc
mutect,alpine-java
picard,alpine-java
drop-seq-tools,picard
pyspark,alpine-java
jupyterhub,pyspark
scientific-notebook,jupyterhub
varscan,alpine-java
local-kafka-cluster,alpine-java
restcomm-sip-servlets-jboss-docker,alpine-java
restcomm-hellosipworld,restcomm-sip-servlets-jboss-docker
ssr-fs-svr-alpine,alpine-java
geopark-app,alpine-java
firstdocker,alpine-java
gocd-agent-jdk,alpine-java
allure,alpine-java
tassel3,alpine-java
docker-pokemongobot,alpine-java
beam-dev,alpine-java
nexus,alpine-java
ciinabox-nexus,nexus
symmetricds,alpine-java
symmetricds-replicator,symmetricds
gatk3,alpine-java
gatk,gatk3
gatk-nightly,gatk
mutect,alpine-java
picard,alpine-java
elasticsearch,alpine-java
elastic,elasticsearch
confluence,alpine-java
ant,alpine-java
docker-ant,ant
suitecrm-api,alpine-java
http-json-kafka,alpine-java
hooktest,alpine-java
divolte,alpine-java
rgt-base,alpine-java
hello-server,alpine-java
world-server,alpine-java
elk5,alpine-java
elk6,alpine-java
docker-pogobot,alpine-java
alpine-gradle,alpine-java
alpine-orcas,alpine-gradle
jenkins-cli,alpine-java
pokemon,alpine-java
druid,alpine-java
confluence-server,alpine-java
confluence-server-mysql,confluence-server
kafka-docker,alpine-java
jetty,alpine-java
cas-overlay,jetty
jmeter,alpine-java
aws-jmeter-slave,jmeter
maven,alpine-java
solo,maven
pentaho-data-integration,alpine-java
search-guard-ssl,alpine-java
docker-waves-devnet,alpine-java
kafka-docker,alpine-java
soapui-mock,alpine-java
gitlab-ci-android-ndk-fastlane,alpine-java
alpine-java-unlimited-jce,alpine-java
alpine-tomcat,alpine-java-unlimited-jce
alpine-gitbucket,alpine-tomcat
crushftp,alpine-java
mqtt-kafka-bridge,alpine-java
docker-kafka,alpine-java
bamboo-cloud-agent,alpine-java
playframework,alpine-java
atlassian-confluence,alpine-java
confluence_oracle_java,atlassian-confluence
atlassian-jira-core,alpine-java
atlassian-jira-servicedesk,alpine-java
atlassian-jira-software,alpine-java
atlassian-jira-software-grsec,atlassian-jira-software
docker-hath,alpine-java
docker-liquibase,alpine-java
infra-dynamodb,alpine-java
infra-spark-jobserver,alpine-java
concourse-sbt-cache-resource,alpine-java
docker-sbt,alpine-java
greeter-service-example,docker-sbt
elasticsearch,alpine-java
elasticsearch-icu,elasticsearch
lein-base,alpine-java
wiremock,alpine-java
dropbox,alpine-java
crystalvault,dropbox
scala-play,alpine-java
ruby-java,alpine-java
kafka,alpine-java
prometheus-kafka-consumer-group-exporter,kafka
kafka-docker,alpine-java
elasticmq,alpine-java
elasticmq-saboteur,elasticmq
spark-no-extras,alpine-java
tomcat,alpine-java
tomcat-volumes-exposed,tomcat
opendaylight,alpine-java
icy,alpine-java
tipisdk,icy
epidemic,tipisdk
confluence,alpine-java
crowd,alpine-java
sphinx-plantuml,alpine-java
dedroid,alpine-java
zookeeper,alpine-java
zookeeper-rancher,zookeeper
mvn-oracle-jdk-unlimited-jce,alpine-java
floodlight,alpine-java
kafka,alpine-java
kafka-prometheus,kafka
onos-sona-docker,alpine-java
wurstmeister-kafka-docker,alpine-java
sonar,alpine-java
kafka-docker,alpine-java
subs-progress-monitor,alpine-java
alpine-jenkins,alpine-java
alpine-tomcat,alpine-java
openhab1,alpine-java
alpine-android-fastlane,alpine-java
alpine-jdk-ant,alpine-java
symmetricds,alpine-java
ripme,alpine-java
sonehundrednone,alpine-java
mule,alpine-java
bunnyorderservice,mule
picard-1.119,alpine-java
varscan-2.3.9,alpine-java
nfllivescores,alpine-java
kafka,alpine-java
kafka-compact,kafka
elasticmq,alpine-java
alpine-s3proxy,alpine-java
kafka,alpine-java
kubernetes-kafka,kafka
kafka,alpine-java
kafka-ctrl,kafka
kafka-docker,alpine-java
finatra_service_base,alpine-java
kieker-logging-server,alpine-java
liquibase,alpine-java
liquibase-mariadb,liquibase
gogo,alpine-java
serenity-html-reporter,alpine-java
pokemongobot,alpine-java
kafka-docker,alpine-java
alpine-tomcat,alpine-java
docker-alpine-norikra,alpine-java
docker-hath,alpine-java
mutect,alpine-java
picard,alpine-java
java8,alpine-java
ot-java-jprofiler-linux,java8
rancher-goagent-java,alpine-java
rancher-goagent-android,rancher-goagent-java
kafka,alpine-java
connect-base,kafka
connect,connect-base
alpine-docker-cloud-debugger-agent,alpine-java
t1-server,alpine-java
kafka-marathon,alpine-java
onos_docker_cluster,alpine-java
alpine-h2,alpine-java
alpine-jython,alpine-java
sqsmock,alpine-java
scm-manager,alpine-java
scmmanager-sde,scm-manager
docker-hath,alpine-java
alpine-elasticsearch,alpine-java
elasticsearch-x-pack,alpine-elasticsearch
alpine-logstash,alpine-java
logstash-consul,alpine-logstash
joom-shopping,alpine-java
json-schema-validator,alpine-java
plantuml,alpine-java
alpine-sbt,alpine-java
build-appspress-backend-old,alpine-sbt
docker-jmx_exporter-mod,alpine-java
kafka-docker,alpine-java
