source,target
elasticsearch,alpine-oraclejdk8
elastic,elasticsearch
play25-runner,alpine-oraclejdk8
approver-list-service,alpine-oraclejdk8
document-service,alpine-oraclejdk8
folder-service,alpine-oraclejdk8
docker-kafka,alpine-oraclejdk8
finance,alpine-oraclejdk8
force-com,alpine-oraclejdk8
docker-android-sdk,alpine-oraclejdk8
docker-flutter,docker-android-sdk
docker-android-alpine,alpine-oraclejdk8
docker-scala-ember,alpine-oraclejdk8
samplecode,alpine-oraclejdk8
docker-atlassian-jira,alpine-oraclejdk8
bigdata-alpine-base,alpine-oraclejdk8
spigot-docker,alpine-oraclejdk8
ping-play,alpine-oraclejdk8
api,alpine-oraclejdk8
graphql,alpine-oraclejdk8
maven-oraclejdk-on-alpine,alpine-oraclejdk8
ditaa,alpine-oraclejdk8
plantuml,alpine-oraclejdk8
lilypad-connect,alpine-oraclejdk8
lilypad-proxy,alpine-oraclejdk8
geoserver,alpine-oraclejdk8
geoserver-postgis,geoserver
docker-jenkins-android,alpine-oraclejdk8
apktool,alpine-oraclejdk8
national_rail_traintracker,alpine-oraclejdk8
gedit-cloud-hello,alpine-oraclejdk8
catalogerprovider,alpine-oraclejdk8
ticketmagpie,alpine-oraclejdk8
docker-spark-master,alpine-oraclejdk8
docker-spark-worker,alpine-oraclejdk8
boot-appeal-service,alpine-oraclejdk8
boot-disposal-service,alpine-oraclejdk8
animitar,alpine-oraclejdk8
cassidyphotography,alpine-oraclejdk8
jackmodera,alpine-oraclejdk8
jamaicatalina,alpine-oraclejdk8
summerchase,alpine-oraclejdk8
tragicallylovely,alpine-oraclejdk8
yikyack,alpine-oraclejdk8
jfrog-mission-control,alpine-oraclejdk8
docker-xwiki-jetty,alpine-oraclejdk8
java,alpine-oraclejdk8
ferret-docker,java
bigdata-base,alpine-oraclejdk8
hadoop,bigdata-base
antimoz-hadoop-ecosystem,hadoop
sonarqube,alpine-oraclejdk8
adop-sonar,sonarqube
restpersonspringbootswagger,alpine-oraclejdk8
docker-node-java,alpine-oraclejdk8
dynamodb-local,alpine-oraclejdk8
dynamodb-cli,dynamodb-local
elasticmq,alpine-oraclejdk8
elasticmq-saboteur,elasticmq
alpine-payara,alpine-oraclejdk8
alpine-scala,alpine-oraclejdk8
