source,target
docker-generator-m-ionic,android
generator-m-ionic,android
android-cordova,android
android-cordova-dart,android-cordova
nativescript,android
android-nodejs,android
cordova,android-nodejs
docker-cordova-grunt,cordova
baboon-android-ci,android
docker-android-fastlane,android
docker-android-sdk,android
docker-flutter,docker-android-sdk
circleci-android-appium,android
nodejs,android
ssr-with-net-speeder,nodejs
circleci-android,android
bitrise-docker-android-ndk,android
android-emulator-22,android
android-emulator-23,android
android-ndk,android
docker-android-ndk,android-ndk
docker-android-fastlane,android
phonebook,android
android-extra-docker,android
san-docker-images,android
android-emulator,android
android-plus,android
cordova-android-docker,android
ionic2,android
android_ndk,android
ndk_ask,android
ionic,android
docker-ionic-android,ionic
docker-android-cordova,android
cordova,android
corci-android,cordova
calabash-android-cloud9,android
fresco-build,android
ionic-android,android
ionic-cordova-android,android
android-circleci-litho,android
wm_435_env,android
cordova,android
docker-cordova-android-sdk,cordova
react-native-android,android
android-26-ruby,android
ionic-inc,android
wtfdiw-mobile,ionic-inc
circleci-android-qt,android
docker-android-studio,android
android-sdk,android
gitlab-cordova,android-sdk
android-studio,android
android-build,android
android-redex-docker,android-build
android-ndk,android
android-osmo,android-ndk
android-16,android
android-17,android
android-18,android
android-19,android
rm-bridge-server,android-19
android-21,android
android-22,android
android-23,android
android-nodejs,android
firefly,android-nodejs
build-ionic-android,android
mapbox-gl-native-android,android
bndroid,android
jenkins-android,android
android-studio,android
infer,android
ndk,android
android_emulator,android
