source,target
archmake-devel,archlinux
mandelbulber2-headless,archlinux
context-docker,archlinux
rpc,archlinux
archlinux-docker-makepkg,archlinux
archlinux-yaourt,archlinux
docker-dotfiles,archlinux-yaourt
arch-adobe-air,archlinux
px-scripts,archlinux
archlinux-assault,archlinux
docker-openvpn-client,archlinux
openvpn-client,docker-openvpn-client
openvpn-forwarder,openvpn-client
docker,archlinux
ci,docker
release,ci
chromium,archlinux
code,chromium
collabora-fonts,code
eager,archlinux
os-archconsole,archlinux
archstrike,archlinux
docker-solr,archlinux
solr-mongo-connector,docker-solr
custom-iso,archlinux
docker-archlinux-rvm,archlinux
docker-geminabox,docker-archlinux-rvm
archlinux-mybase,archlinux
archlinux-sdr,archlinux-mybase
codenvy,archlinux
docker-cpp-ci,archlinux
archlinux_chef,archlinux
archlinux-yaourt,archlinux
n1,archlinux-yaourt
archlinux-dev,archlinux
brinkos,archlinux
archdocker,archlinux
docker-mingw-qt5,archlinux
core,archlinux
scala,core
sbt,scala
sbt-runner,sbt
build-arch,archlinux
arch,build-arch
docker-arch-php,arch
mizarch,archlinux
jenkins-slave-archlinux,archlinux
clamavd,archlinux
docker-arch-yaourt,archlinux
meteor-install,archlinux
cxflow,archlinux
cxflow-tensorflow,cxflow
cxflow-tensorflow-cxtream,cxflow-tensorflow
archstrike,archlinux
texlive,archlinux
latexmk,texlive
nzbdrone-torrents,archlinux
archlinux-jdk,archlinux
archlinuxcn,archlinux
glad-test,archlinux
liquidsoap,archlinux
liquidsoap-example,liquidsoap
docker-latex,archlinux
java-builder-arch,archlinux
cpp,archlinux
node,cpp
thesis,node
dev,archlinux
docker-android-sdk,dev
docker-flutter,docker-android-sdk
haxe,archlinux
haxe-watch,haxe
build-archlinux,archlinux
gitolite,archlinux
docker-gitolite,gitolite
arch-minimal,archlinux
counterpartyd,archlinux
olinuxino-crosscompiler,archlinux
olinuxino-kernel,olinuxino-crosscompiler
docker-arch-ionic,archlinux
archbox,archlinux
rabbitmq,archlinux
rabbitmqdockermqtt,rabbitmq
arch,archlinux
spawny,arch
archlinux-basic,archlinux
firefox,archlinux-basic
firefox-flash,firefox
arch_jdk_vnc,archlinux
latex-archlinux,archlinux
react-native,archlinux
juju-docker,archlinux
docker-qt-arch-packaging,archlinux
archlinux-base,archlinux
unbound,archlinux-base
postfix-dbmail,archlinux
archlinux-devel,archlinux
raspi-archlinux,archlinux-devel
btc-trade-collect,archlinux
ansible,archlinux
ansible-roles,ansible
gopherlab,archlinux
docker-graphene,archlinux
docker-testnet,docker-graphene
archlinux-updated-aur,archlinux
camo,archlinux-updated-aur
archlinux-pharo-smalltalk,archlinux
archlinux-seaside,archlinux-pharo-smalltalk
archlinux-rust,archlinux
lazar-gui,archlinux
lazar-rest,archlinux
alsa-utils,archlinux
feh,archlinux
archlinux-repobuilder,archlinux
whale-blender,archlinux
arch-sdlmame-automated-build,archlinux
archlinux-aur,archlinux
mosquitto,archlinux-aur
mqtt-manager,mosquitto
gollum,archlinux
gollum-ldap,gollum
hub-build-test,archlinux
lamp,archlinux
lamp-testbed,lamp
sshd,archlinux
carina-sshd,sshd
archlinux_python,archlinux
marblearch,archlinux
r2m2,archlinux
https-proxy,archlinux
solr,archlinux
liresolr,solr
sqldeveloper,archlinux
sqlplus,archlinux
docker-sqlplus,sqlplus
aur-mingw-builder,archlinux
mingw-qt5,archlinux
archlinux-yaourt,archlinux
blackarch,archlinux-yaourt
archlinux-cn,archlinux
letterly,archlinux
homebridge,archlinux
homebridge-ffmpeg,homebridge
rust,archlinux
paste-acm,rust
archlinux-makepkg,archlinux
organic-box-factory,archlinux
docker-rust-musl,archlinux
docker-vagrant-git,archlinux
brinkos-builder,archlinux
arch-openwrt-buildroot,archlinux
arch-base,archlinux
arch-flexget,arch-base
dimmers-poller,archlinux
clang-tidy,archlinux
arch-playground,archlinux
mockups-creator,archlinux
docker-archlinux,archlinux
docker-developer,docker-archlinux
justbuchanan.com,archlinux
docker-archlinux-qemu-arm-builder,archlinux
sr_srv_semaforow,archlinux
bind,archlinux
igludockerprojectdns,bind
chat,archlinux
gitlab,archlinux
docker-gitlab,gitlab
postgres,archlinux
postgres-db,postgres
redis,archlinux
redis-amazon-backup,redis
registry,archlinux
docker-registry,registry
web,archlinux
runconduit-web,web
samba-addc,archlinux
docker-hexo,archlinux
gtox-travis-build,archlinux
mjpg-streamer,archlinux
pulseaudio-bluetooth,archlinux
archlinux-texlive,archlinux
lapis-archlinux,archlinux
nvr-dev,archlinux
servethis,archlinux
archlinux-spiderfoot,archlinux
archlinux-unrealircd,archlinux
archlinux_gcc_meson,archlinux
archlinux-chef,archlinux
arch-yay,archlinux
docker-arch-systemd,archlinux
arch-base,archlinux
arch-lazylibrarian,arch-base
autoaurbuilder-arch-makepkg,archlinux
docker-archlinux,archlinux
gt-hive-mean,docker-archlinux
docker-pellets-builder,archlinux
arch-ffmpeg-gpac,archlinux
docker-sbt-coursier,archlinux
docker-sbt-coursier-nvm,docker-sbt-coursier
glitch-playground,archlinux
owncloud,archlinux
owncloud-ldap,owncloud
pyload,archlinux
pyload-filebot,pyload
consul-template,archlinux
consul-template-nginx-load-balancer,consul-template
couchdb-lucene,archlinux
desktop,archlinux
sfepy-desktop,desktop
ruby21,archlinux
wagon,ruby21
arch-re2-boost,archlinux
latex,archlinux
docker-latex-pygments,latex
lximediaserver,archlinux
readymedia-transcode,archlinux
docker-gitlab-runner-android,archlinux
firefox,archlinux
firefox-pulseaudio,firefox
firefox-bundle,archlinux
nginx,archlinux
dockerized-nginx-tester,nginx
php-fpm,archlinux
php-fpm-xdebug,php-fpm
php-fpm-xdebug-dev,php-fpm-xdebug
docker,archlinux
drone-kitchen,docker
archbase,archlinux
dockers,archlinux
mingw-sdl2,archlinux
comfy,archlinux
nifty,archlinux
archlinux-pharo-image,archlinux
pharo-seaside-docker-example,archlinux-pharo-image
docker-persistence,archlinux
bitlbee,archlinux
znc,archlinux
znc-docker,znc
spigot-amd64,archlinux
log.io-arch,archlinux
finance,archlinux
pacman-repo,archlinux
arch-sudo,archlinux
bitshares,archlinux
publicnode,archlinux
pandoc,archlinux
whalebrew-pandoc,pandoc
couchpotato,archlinux
couchpotato-mtc,couchpotato
deluge,archlinux
docker-deluge,deluge
headphones,archlinux
lazylibrarian,archlinux
maraschino,archlinux
megasearch,archlinux
notebooks,archlinux
sabnzbd,archlinux
sabnzbd-withsocks,sabnzbd
sickbeard,archlinux
sickbeard-marginal,sickbeard
yolomer,archlinux
arch_dark,archlinux
ingress-ice,archlinux
arch-yay,archlinux
dotfiles,archlinux
docker-luyten,archlinux
maven-build,archlinux
maven-onbuild,maven-build
latex,archlinux
latex-docker,latex
opencv,archlinux
object-detection,opencv
archlinux-pacaur,archlinux
sonarr,archlinux-pacaur
sonarr-mp4,sonarr
deluge,archlinux
deluge-curl,deluge
jackett,archlinux
jackett1,jackett
radarr,archlinux
radarr-mp4,radarr
webdav,archlinux
continuovel,archlinux
rproxy,archlinux
pinger,archlinux
arm-sdcard-builder,archlinux
arch-dumbinit,archlinux
ib,arch-dumbinit
dockers,archlinux
android-emulator-x11,archlinux
latex-cz,archlinux
arch-novnc,archlinux
linux-laptop,archlinux
nikola,archlinux
nikola-orgmode,nikola
latex,archlinux
latex-pygments-inkscape,latex
archlinux-devel,archlinux
package-query,archlinux
freeradius,archlinux
archlinux-jdk,archlinux
aspnetvnext,archlinux
arch-kernel,archlinux
arch-lxqt,archlinux
arch-xfce4,archlinux
arch-tools,archlinux
arch-kitchen-docker,archlinux
glusterfs,archlinux
arch-kitchen-docker,archlinux
arch-systemd-kitchen,archlinux
gapjupyterdocker,archlinux
opendavinci-archlinux,archlinux
fetchmail,archlinux
capsula,archlinux
arch-blender,archlinux
shaddock,archlinux
arch-love-release,archlinux
es5-min-build,archlinux
rabbitmq-etcd,archlinux
semantics-ner,archlinux
spitfire,archlinux
arch2go,spitfire
ci-vagrant,archlinux
qt-win-crosscompile-docker,archlinux
archlinux-build,archlinux
node-formvision,archlinux
sfml-clang-arch-docker,archlinux
cabal-build,archlinux
pandoc-gitit,cabal-build
hello-heidi,archlinux
archlinux-ssh-x11,archlinux
archlinux-pacaur,archlinux
base,archlinux
backup-fetch-files,base
openvswitch,archlinux
ovs-vswitchd,openvswitch
dynamodblocal,archlinux
elasticmq,archlinux
elasticmq-saboteur,elasticmq
minio-server,archlinux
arch-pkgbuild,archlinux
arch-linux,archlinux
inception,archlinux
tensorflow-serving,inception
inkscape,archlinux
inkscape-plus,inkscape
pandoc-archlinux,archlinux
archlinux-aura,archlinux
debugger,archlinux
archlinux-with-yaourt,archlinux
pycharm-professional,archlinux-with-yaourt
clone,archlinux
archlinux-multibuild,archlinux
base-arch,archlinux
makepkg,base-arch
jupyter-pack,makepkg
makepkg,archlinux
nx-transistor-build-tools,archlinux
elixir-dirty-scheduler,archlinux
shadowsocks-manager,archlinux
docker-ansible-arch-rolling,archlinux
docker-ansible-manjaro-rolling,archlinux
poseidon,archlinux
deluge,archlinux
deluge-daemon,deluge
base,archlinux
backup-fetch-mariadb,base
clearsilver,archlinux
