source,target
digitalangel.devices.datagenerator.webapp,aspnetcore-build
server-side-gameboy,aspnetcore-build
aspnetcore-cakebuild,aspnetcore-build
aspnetcore-in-docker,aspnetcore-build
prosper,aspnetcore-build
srebot,aspnetcore-build
api-fundos,aspnetcore-build
acr-patch-sample-api,aspnetcore-build
authenticationapi,aspnetcore-build
cammorris.tech,aspnetcore-build
cake-build-image,aspnetcore-build
radwagwebapi,aspnetcore-build
chathampolice,aspnetcore-build
districtattorney,aspnetcore-build
registry_viewer,aspnetcore-build
connectivity-checker,aspnetcore-build
dotnet-docker-samples,aspnetcore-build
mapdiffbot,aspnetcore-build
webmail,aspnetcore-build
bootstrap-aspnetcore-starter,aspnetcore-build
dockerapp,aspnetcore-build
dotnet-webca,aspnetcore-build
triggmine.chatbot.core,aspnetcore-build
eatfaultapi,aspnetcore-build
faultapi,aspnetcore-build
queriesystemapi,aspnetcore-build
docker,aspnetcore-build
ci,docker
release,ci
my-protected-aspnetcore-api,aspnetcore-build
aspnetcore-jenkins,aspnetcore-build
lanchessw,aspnetcore-build
aspnetcore,aspnetcore-build
theballbase,aspnetcore
theballweb,theballbase
cloudflareheaders,aspnetcore-build
headhuntapi,aspnetcore-build
vkaiwadesigner,aspnetcore-build
gitversion-aspnetcore-build,aspnetcore-build
zoo-site2,aspnetcore-build
4432,aspnetcore-build
barilan,aspnetcore-build
barilanwebapi,aspnetcore-build
calculatorwebapi,aspnetcore-build
sample-dotnet1,aspnetcore-build
release_4.10,aspnetcore-build
aspnetcore-yarn-build,aspnetcore-build
easd-alert,aspnetcore-build
tm,aspnetcore-build
transactionsmanageridentityserver,aspnetcore-build
ebnetcore,aspnetcore-build
guardianslibrary,aspnetcore-build
docker-poc,aspnetcore-build
awesomeweather,aspnetcore-build
shop-cart,aspnetcore-build
citest,aspnetcore-build
wetpicstelegrambot,aspnetcore-build
coursemanager,aspnetcore-build
nest.net,aspnetcore-build
aspnetcore-nodejs-build,aspnetcore-build
itm-pipelines-build-images,aspnetcore-build
acerola,aspnetcore-build
castanha,aspnetcore-build
manga,aspnetcore-build
modernaspdotnetcore,aspnetcore-build
dotnet-core-portfolio,aspnetcore-build
library_rental_api,aspnetcore-build
structure01,aspnetcore-build
hello-world,aspnetcore-build
docker-hub-initial-tag-push-repro,hello-world
audiobookserver-api,aspnetcore-build
audiobookserver-web,aspnetcore-build
myweb,aspnetcore-build
app-core,aspnetcore-build
subscribeapi,aspnetcore-build
aspnetcoreapi,aspnetcore-build
averliekershomepage,aspnetcore-build
firstdockerapp,aspnetcore-build
retest,aspnetcore-build
musicstore,aspnetcore-build
shoppingcartv1,aspnetcore-build
weckertest,aspnetcore-build
demo-paginable-collections,aspnetcore-build
demo-paginable-collections-aspnetcore,aspnetcore-build
aspnetcore-build-with-yarn,aspnetcore-build
invokecommand-blog,aspnetcore-build
justpublishx,aspnetcore-build
someaspnetcoreapp,aspnetcore-build
sugar-socialgamification,aspnetcore-build
projectrenamer-webapi,aspnetcore-build
oauth-server,aspnetcore-build
matterfeed.net,aspnetcore-build
matterhook.net,aspnetcore-build
mugbot,aspnetcore-build
checkout-service,aspnetcore-build
academia,aspnetcore-build
rcbenevoles,aspnetcore-build
langbot,aspnetcore-build
aspnetcore-build-kube,aspnetcore-build
captureorderack-netcore,aspnetcore-build
filestorage-service,aspnetcore-build
identity-service,aspnetcore-build
aspnetcoreangular,aspnetcore-build
aspnetcoreangular2docker,aspnetcore-build
xmlcombiner,aspnetcore-build
os,aspnetcore-build
saltstack-base,os
saltstack,saltstack-base
creditcard-api,aspnetcore-build
user-api,aspnetcore-build
airbag,aspnetcore-build
assessmentsvc,aspnetcore-build
assessmetl,aspnetcore-build
netcore-docker-ci,aspnetcore-build
dotnet_landingpage,aspnetcore-build
todo-backend-giraffe,aspnetcore-build
seed-dotnet,aspnetcore-build
icondiffbot,aspnetcore-build
mapdiffbot,aspnetcore-build
homeservices,aspnetcore-build
peopleservice,aspnetcore-build
todoapi,aspnetcore-build
sagas_and_legends_linux,aspnetcore-build
fordons,aspnetcore-build
kinectcosmosmicroservice,aspnetcore-build
spruce_street_designs,aspnetcore-build
darkstatscore,aspnetcore-build
catnat-core,aspnetcore-build
build_dotnet,aspnetcore-build
imuaythai,aspnetcore-build
aspnetcore-yarn-build,aspnetcore-build
test-repo,aspnetcore-build
http-nats-proxy,aspnetcore-build
kinodnes,aspnetcore-build
coreapplication-master-latest,aspnetcore-build
recoverable-wallet,aspnetcore-build
party-invites,aspnetcore-build
