source,target
docker-socat,base-alpine
curl-timer,base-alpine
docker-rclone,base-alpine
simple-mail-forwarder,base-alpine
murmur,base-alpine
docker-murmur,murmur
awscli,base-alpine
s3-cron-backup,awscli
ffmpeg,base-alpine
php53,ffmpeg
java,base-alpine
ferret-docker,java
mariadb,base-alpine
che-mariadb,mariadb
mongodb,base-alpine
crits_mongo,mongodb
nginx,base-alpine
dockerized-nginx-tester,nginx
nodejs,base-alpine
ssr-with-net-speeder,nodejs
php,base-alpine
docker-magento-php-fpm-alpine,php
rsyslog,base-alpine
rsyslog-relay-mysql,rsyslog
sftp,base-alpine
storage-manager,sftp
mattermost,base-alpine
vdirsyncer,base-alpine
acmetool,base-alpine
base-alpine-s6,base-alpine
base-server-s6,base-alpine-s6
debug-alpine,base-alpine
openjdk8-alpine,base-alpine
openjdk8-capsule,base-alpine
redis,base-alpine
redis-amazon-backup,redis
tomcat,base-alpine
tomcat-volumes-exposed,tomcat
wildfly,base-alpine
keycloak-quickstarts,wildfly
alpine-nginx-php,base-alpine
grav,alpine-nginx-php
maxmalm.se-grav,grav
base-caddy,base-alpine
base-php,base-caddy
docker-ruby-keboola,base-php
dehydrated,base-alpine
dehydrated-route53,dehydrated
alpine-nginx-php,base-alpine
docker-grav,alpine-nginx-php
gitea,base-alpine
gitea-backup-s3,gitea
nginx-ssl,base-alpine
minecraft-mcu,nginx-ssl
unifi,base-alpine
unifi-entertain,unifi
elasticsearch,base-alpine
elastic,elasticsearch
docker-cloud-cron,base-alpine
node,base-alpine
thesis,node
base-alpine-glibc,base-alpine
alpine-mono-dnsfix,base-alpine-glibc
base-alpine-node,base-alpine
base-java,base-alpine
apache-flume,base-java
docktor,base-alpine
http-workqueue,base-alpine
rsync-store-client,base-alpine
rsync-store-server,base-alpine
s3-conf,base-alpine
tutum-cron,base-alpine
cron-container-starter,tutum-cron
simple-mail-forwarder,base-alpine
docker-registry,base-alpine
es-k8s-logs-template,base-alpine
exit-container,base-alpine
mock-kubernetes-installer,exit-container
filebeat,base-alpine
docker-filebeat-consul,filebeat
helm-bundle,base-alpine
k8s-installer,base-alpine
kibana-k8s-objects,base-alpine
ssl-certs-generator,base-alpine
docker-cloud-cron,base-alpine
louver,base-alpine
mesos-dns,base-alpine
mesos-dns-env,mesos-dns
alpine-gcloud,base-alpine
gcloud-nodejs-serverless,alpine-gcloud
consul,base-alpine
moe-consul,consul
couchbase-exporter,base-alpine
gocd-haproxy,base-alpine
haproxy,base-alpine
haproxy_backend_definition,haproxy
tinyproxy,base-alpine
toolbox,base-alpine
benji-rook,toolbox
vizceral-aggregator,base-alpine
deluge,base-alpine
docker-deluge,deluge
t411-torznab,base-alpine
resilio-sync,base-alpine
socat,base-alpine
slackirc-env,base-alpine
sopel,base-alpine
borg,base-alpine
taggo,base-alpine
simple-mail-forwarder,base-alpine
