source,target
keycloak-http-proxy,base-jdk
push-network-proxies,base-jdk
simplepush,base-jdk
eap,base-jdk
docker-liferay-dxp-wildfly,base-jdk
keycloak,base-jdk
activiti-cloud-sso-idm,keycloak
docker.file,base-jdk
wildfly,base-jdk
keycloak-quickstarts,wildfly
docker-liferay-6.2,base-jdk
base-redhat,base-jdk
jboss-as,base-jdk
keycloak-proxy,base-jdk
keycloak-auth-proxy,keycloak-proxy
java,base-jdk
ferret-docker,java
lang-java,base-jdk
jboss-fuse-6.3,base-jdk
jboss-fuse-6.3-admin,jboss-fuse-6.3
jboss-fuse-6.3-fabric,jboss-fuse-6.3-admin
jboss-fuse-6.3-ssh,base-jdk
nginx,base-jdk
dockerized-nginx-tester,nginx
chat-server,base-jdk
exo,base-jdk
exo-community,base-jdk
che,exo-community
exo-trial,base-jdk
jmeter,base-jdk
aws-jmeter-slave,jmeter
java-jboss-openjdk8-jdk,base-jdk
kafka,java-jboss-openjdk8-jdk
prometheus-kafka-consumer-group-exporter,kafka
jetty-7,base-jdk
jetty-8,base-jdk
jetty-9,base-jdk
jetty-9-kettle,jetty-9
karaf-2.4,base-jdk
karaf-3,base-jdk
karaf-4,base-jdk
nexus,base-jdk
ciinabox-nexus,nexus
tomcat-7,base-jdk
tomcat-8,base-jdk
tomcat-8-mail,tomcat-8
zookeeper,base-jdk
zookeeper-rancher,zookeeper
hawkular-services,base-jdk
fabric8-tomcat,base-jdk
plataforma,base-jdk
jboss4,base-jdk
centos-java,base-jdk
docker-subversion-edge,centos-java
jgroups-gossip,base-jdk
jaqpot-core,base-jdk
jboss-fuse-dev,base-jdk
jboss-fuse-docker,jboss-fuse-dev
aerogear-simplepush-server,base-jdk
forge,base-jdk
hawkular-aio,base-jdk
hawkular-apm-server,base-jdk
hawkular-apm,hawkular-apm-server
hawkular-btm,base-jdk
jgroups-gossip,base-jdk
jts-transaction-service,base-jdk
keycloak,base-jdk
alfresco-keycloak,keycloak
keycloak-examples,base-jdk
keycloak-proxy,base-jdk
liveoak-server,base-jdk
torquebox,base-jdk
razor-server,torquebox
wildfly,base-jdk
unifiedpush-wildfly,wildfly
windup,base-jdk
developer,base-jdk
keycloak-openshift,base-jdk
keycloak-openshift-jsonconfig,keycloak-openshift
keycloak-yii,base-jdk
wildfly8-jdk7,base-jdk
apache-artemis,base-jdk
keycloak,base-jdk
keycloak-ha-aws,keycloak
wildfly,base-jdk
unifiedpush-wildfly-plain,wildfly
docker-lnls-development,base-jdk
wildfly,base-jdk
chouette-iev,wildfly
wildfly-admin-postgres,base-jdk
push-network-proxies,base-jdk
zookeeper-docker-infispector,base-jdk
centos-java,base-jdk
centos-java-ansible,centos-java
wildfly,base-jdk
docker-wildfly,wildfly
keycloak-sqlserver,base-jdk
ffm-keycloak,keycloak-sqlserver
wildfly,base-jdk
on-wildfly10,wildfly
docker-wildfly-mon,base-jdk
teste-bank-system,base-jdk
jboss-eap,base-jdk
docker-eap,base-jdk
docker-bpms,docker-eap
wildfly-ha-example,base-jdk
keycloak-openshift,base-jdk
wildfly,base-jdk
on-wildfly11,wildfly
sonarqube,base-jdk
adop-sonar,sonarqube
infinispan-server-domain-docker,base-jdk
keycloak,base-jdk
keycloak-reverse-proxy,keycloak
build-base,base-jdk
binstar-build-linux64,build-base
clicktoshare-keycloak,base-jdk
