source,target
backup-fetch-files,base
backup-fetch-mariadb,base
backup-fetch-postgres,base
borgbackup,base
backup-create,borgbackup
replication-backblaze-b2,base
base-jdk,base
keycloak-http-proxy,base-jdk
debian-packaging,base
openresty,base
oidc-proxy,openresty
caesarapp-server,base
caesarapp-web-client,base
gerrit,base
adop-gerrit,gerrit
site,base
central,site
devfest-2013,base
nginx,base
dockerized-nginx-tester,nginx
php71-fpm,base
php71-ci,php71-fpm
ltc-cpuminer,base
shiny-succotash,base
apache_php,base
phpmyadmin,apache_php
phpmyadmin-dev,phpmyadmin
pro-gf,base
tis_docker_helloworld,base
openjdk-jdk,base
lein,openjdk-jdk
hippo_auto,lein
openjdk-jre,base
activemq,openjdk-jre
messaging-server,activemq
replace-var,base
ci-cypress,base
apache,base
homeautomation-backend,apache
node,base
thesis,node
oracle-jdk,base
docker-activator,oracle-jdk
redis,base
redis-amazon-backup,redis
rvm,base
fake-sns,rvm
homeland-docker,base
avahi,base
couchpotato,base
couchpotato-mtc,couchpotato
letsencrypt,base
letscertify,letsencrypt
nginx,base
nginx-mod-http-headers-more,nginx
plex,base
plex-norelay,plex
sabnzbd,base
sabnzbd-withsocks,sabnzbd
samba,base
samba-iso,samba
sftp,base
storage-manager,sftp
sickrage,base
freenas-sickrage,sickrage
storm,base
storm-nimbus,storm
base-project,base
timelapse-manager,base-project
cloud-base-project,base
wheels-proxy,base
nodejs,base
ssr-with-net-speeder,nodejs
consul,base
moe-consul,consul
container-nanny,base
mini-golang,base
aleph-update,base
andiocpu,base
utilishell,base
www-ssl,base
smart-media-storage,base
marathon-logger,base
openidconnect-data,base
node,base
create-react-app,node
fann,base
influxdb,base
azuracast_influxdb,influxdb
slow-storage,base
apy,base
docker-alpine-jenkins,base
etherpad,base
redis,base
redis-restorable,redis
curator,base
elasticsearch-curator,curator
haproxy-confd,base
docker-haproxy,haproxy-confd
letsencrypt,base
letsencrypt-webroot,letsencrypt
apache2,base
apache2-php,apache2
apache2-php-extra,apache2-php
btsync,base
couchpotato,base
java7,base
cassandra,java7
cassandra-svc,cassandra
rsync,base
rsyncd,rsync
sftp,base
sickbeard,base
sickbeard-marginal,sickbeard
the-goods,base
openblas,base
fastbma,openblas
carbon,base
cobalt,carbon
geminabox,base
grafana,base
grafana-amp,grafana
graphite-api,base
sensu,base
adop-sensu,sensu
uchiwa,base
buildenv,base
buildenv-jitq,buildenv
webots,base
travis-archlinux,base
web,base
runconduit-web,web
autostew_web,base
fpm,base
rpm-builder,fpm
zookeeper,base
kafka,zookeeper
prometheus-kafka-consumer-group-exporter,kafka
openvpn-client,base
openvpn-forwarder,openvpn-client
ttrss,base
ttrssdb,ttrss
golang,base
carbonapi,golang
nodejs,base
bitcoin-drain,nodejs
phantomjs,base
mixed-content-scanner,phantomjs
python,base
flashcards13,python
ruby,base
outletbox-rails,ruby
java,base
ferret-docker,java
nagios,base
nagios-graphs,nagios
postgres,base
postgres-db,postgres
rvm,base
fake-sqs,rvm
cuberite,base
hedgewars,base
java,base
javahelloworld_prod,java
latex,base
docker-latex-pygments,latex
nodejs,base
pm2,nodejs
tesdeploy,pm2
ruby,base
somebody_elses_problem,ruby
sandbox,base
uniqush,base
vaultier,base
weblate,base
zabbix,base
rocket.chat,base
rocketchat,rocket.chat
update,base
user-accounts,base
nano,base
zencash,base
everware_cern_analysis,base
armoryd,base
claret,base
monasca-stack-docker,base
kerberos,base
rust-server,base
rust-gameserver,rust-server
abstruse,base
ci-base,base
ci-rancher-tools,ci-base
ruby,base
wonko_the_sane,ruby
mini-perp,base
ceph-collectd-graphite,base
consul-ui,base
consul-agent,consul-ui
consul-server,consul-agent
alpine-consul-dns,consul-server
data-volume,base
php-fpm,data-volume
php-fpm-xdebug,php-fpm
php-fpm-xdebug-dev,php-fpm-xdebug
git,base
spring-boot-rest-example,git
memcached,base
memcached-verbose,memcached
mysql-dev,base
nginx,base
generic-proxy,nginx
nodejs,base
labs-controller-nodejsapp,nodejs
swap-manager,base
aeph-redesign,base
aleph,base
aleph-design,base
bcoin-neutrino,base
achminup-data,base
govitra-data,base
govitra-nginx,base
govitra-uploader,base
go,base
grpc,go
protoc,grpc
protoc-gen-gotemplate,protoc
java7,base
docker-jenkins,java7
jenkins-net-projects,docker-jenkins
java8,base
ot-java-jprofiler-linux,java8
mongodb,base
crits_mongo,mongodb
mysql,base
concrete5-mysql,mysql
rabbitmq,base
rabbitmqdockermqtt,rabbitmq
nginx,base
nginx-log-request-body,nginx
node,base
statsd,node
dut-statsd,statsd
php,base
docker-magento-php-fpm-alpine,php
python,base
software-delivery,python
python3,base
python3-chrome,python3
python3-develop,python3-chrome
builder,base
test,builder
cache,base
database,base
logger,base
router,base
deisrouter,router
bb,base
couchpotato,base
headphones,base
jackett,base
jackett1,jackett
murmur,base
docker-murmur,murmur
nzbget,base
docker-nzbget-sbmp4,nzbget
plexpy,base
rutorrent,base
seedbox,rutorrent
sickrage,base
subsonic,base
freenas-subsonic,subsonic
syncthing,base
syncthing-auto,syncthing
znc,base
znc-docker,znc
k1plaza,base
bbx-binning-evaluation-jd,base
cm-application,base
config,base
demo,base
monasca-anomaly-docker,demo
mds,base
mon,base
osd,base
rados,base
radosgw,base
rbd,base
rbd-lock,rbd
rbd-volume,base
ceph-rbd-volume,rbd-volume
antismash4_lite_panx-prokka_docker,base
amavis,base
dovecot,base
jekyll-github,base
userdir,jekyll-github
pdns,base
postfix,base
postfix-mailtrap,postfix
prosody,base
spampd,base
uwsgi-php,base
docker-podcastgen,uwsgi-php
swarm-dashboard,base
docker-r,base
rocket.chat,base
plex,base
plexmediaserver,plex
abstruse,base
orthancdocker,base
jenkins,base
hms-jenkins,jenkins
nodejs-base,base
rwbbc-persistence-service,nodejs-base
thrift,base
tesseract,thrift
tesserocr,tesseract
logstash-contrib,base
logstash-contrib-pr,logstash-contrib
bind-data,base
odoo10-files,base
odoo10-clouder-files,odoo10-files
odoo9-files,base
odoo9-clouder-files,odoo9-files
unsee,base
cypress,base
apache,base
homeautomation-frontend,apache
beanstalk,base
certbot,base
certbot-cloudflare,certbot
common,base
registration,common
delegate,base
ffmpeg,base
php53,ffmpeg
memcached,base
