source,target
forte-core-build,buildpack-deps
gdcm,buildpack-deps
simit,buildpack-deps
nginx-streaming,buildpack-deps
masscan,buildpack-deps
rancher-cli,buildpack-deps
backup-rancher-env,rancher-cli
rancher-compose-tools,buildpack-deps
node-xenial,buildpack-deps
node-mapnik,node-xenial
oracle-freight,buildpack-deps
infer,buildpack-deps
pypy,buildpack-deps
crossbar-router,pypy
docker-oracle-xe-11g,buildpack-deps
oraclexe-ocapi,docker-oracle-xe-11g
nginx-image-server,buildpack-deps
dbase,buildpack-deps
influxdata-docker,buildpack-deps
docker-node-6.10.2,buildpack-deps
docker-node,buildpack-deps
microduino-forum,docker-node
docker-fsharp,buildpack-deps
ubuntu-ruby,buildpack-deps
ruby-nodejs,ubuntu-ruby
spree-dockerimage,ruby-nodejs
kudu,buildpack-deps
kudu,buildpack-deps
influxdb-auto,buildpack-deps
hover,buildpack-deps
middleware,buildpack-deps
conanclang,buildpack-deps
erlang,buildpack-deps
elixir,erlang
phoenix,elixir
phoenix-1.3-node,phoenix
docker-node-jdk-chrome-firefox,buildpack-deps
node-browsers,docker-node-jdk-chrome-firefox
pageres,buildpack-deps
ruby2.3.1,buildpack-deps
webtest_ruby2.3.1,ruby2.3.1
influxdb-docker,buildpack-deps
golang,buildpack-deps
carbonapi,golang
hoodoo,buildpack-deps
node-ruby-rsync,buildpack-deps
rsync,buildpack-deps
rsyncd,rsync
chefdk,buildpack-deps
license_scout,chefdk
esi-tfg,buildpack-deps
storemeta,buildpack-deps
php-fpm-consul,buildpack-deps
tomcat-consul,buildpack-deps
docker-loopback,buildpack-deps
node-chrome-firefox,buildpack-deps
clang-docker,buildpack-deps
node,buildpack-deps
thesis,node
drupal-base,buildpack-deps
drupal-apache,drupal-base
xhprof,drupal-apache
jekyll-website,buildpack-deps
artanis,buildpack-deps
docker-node-python,buildpack-deps
node,buildpack-deps
create-react-app,node
bh-frontend,buildpack-deps
docker-java8-chrome-xvfb,buildpack-deps
bitbucket-node-python-docker,buildpack-deps
faas,buildpack-deps
drone-rails-postgres-redis-node-and-phantomjs,buildpack-deps
cotila-base,buildpack-deps
cotila-clang,cotila-base
go-watcher,buildpack-deps
go-tip,buildpack-deps
