source,target
nodejs-dockedr-test,centos
centos7-systemd,centos
centos7-for-kitchen-docker,centos7-systemd
bbcp,centos
prelude-siem,centos
ocs-inventory,centos
oracle,centos
php,centos
docker-magento-php-fpm-alpine,php
companywebsite,centos
mirage-toolchain,centos
pluralsight-docker-ci-master,centos
pluralsightapp,centos
swiss-knife,centos
dockersample1,centos
docker-demo,centos
testrepoforcidemo,centos
golang-16-centos7,centos
duckpan,centos
starbound,centos
starbound-gog,centos
supervisor-httpd-vsftpd,centos
pluralsight-docker-ci,centos
translate-shell,centos
old-app,centos
centos6-jenkins,centos
centos6-jenkins-ruby,centos6-jenkins
docker-whmcs,centos
cloudera-director,centos
anchor-packages,centos
fabric8-gemini-server,centos
adop-jenkins-slave,centos
docker-alfresco,centos
pluralsight-docker-ci,centos
plural-sight-docker-ci,centos
pen,centos
passenger_ruby2.3.0,centos
passenger_ruby2.3.1,centos
passenger_ruby2.3.1_awscli,centos
passenger_ruby2.4.1,centos
atlassian-bamboo-agent,centos
stress-tools,centos
docker-ci,centos
olympia,centos
docker-with-ci-dog,centos
docker-ci,centos
jenkins-slave,centos
jenkins-typesafe-activator,jenkins-slave
centosnodeoracle,centos
ganglia,centos
cinodejstest,centos
kafka-manager,centos
bosapi,centos
bosweb,centos
copy-yum-repo,centos
rally-centos,centos
centos6,centos
beanstalkd,centos6
queue,beanstalkd
bad-dockerfile,centos
docker-register,centos
centos7,centos
crontab,centos7
xtramariadb,crontab
vsftpd,centos
digger-android-sdk-image,centos
mobile-sdk,centos
docker-tinydns,centos
chouette2,centos
apache-ssl-proxy,centos
flash,centos
centos-systemd,centos
haproxy-systemd,centos-systemd
clonetocloud,centos
duplicity-backup,centos
pluralsight-docker-ci,centos
duplicity,centos
heketi-backup,duplicity
fakesystemd,centos
tcl,centos
watchdog,tcl
docker-nginx-php71-casperjs,centos
nginx-php56,centos
nginx-php71,centos
deploy-test,nginx-php71
pluralsight-docker-ci,centos
cloudera-director,centos
django-nginx-uwsgi,centos
rsseries,django-nginx-uwsgi
nginxredirect,centos
