source,target
crontab,centos7
xtramariadb,crontab
devmongodb,centos7
mariadb,centos7
che-mariadb,mariadb
mongodb,centos7
crits_mongo,mongodb
nginx,centos7
dockerized-nginx-tester,nginx
node.js,centos7
nodeapp,node.js
openjdk,centos7
distriapplici,openjdk
redis,centos7
redis-amazon-backup,redis
sshcentos7,centos7
centos7-tomcat,centos7
oshinko-webui,centos7
oshinko-webui-concreate,centos7
golang,centos7
carbonapi,golang
crontab,centos7
mariadb,centos7
mariadb-amazon-backup,mariadb
memcached,centos7
memcached-verbose,memcached
mongodb,centos7
freenas-mongodb,mongodb
nginx,centos7
nginx-mod-http-headers-more,nginx
nginx-https,centos7
node.js,centos7
parsoid,node.js
openjdk,centos7
infinispan-creson,openjdk
redis,centos7
redis-restorable,redis
rsync,centos7
rsyncd,rsync
sshcentos7,centos7
puppetserver,centos7
sal-puppetserver,puppetserver
rpm-buildhost-el7,centos7
centos7_gcc5_3,centos7
centos7_gcc5_3_boost1_60,centos7_gcc5_3
docker-nginx,centos7
company_website,docker-nginx
fileserver,centos7
nginx,centos7
generic-proxy,nginx
radius,centos7
tic-tac-toe,centos7
spark,centos7
docker-spark,spark
docker-spark-sbt,docker-spark
balancer,centos7
java8,centos7
ot-java-jprofiler-linux,java8
pgbouncer,centos7
python3,centos7
python3-chrome,python3
python3-develop,python3-chrome
squash-tm,centos7
static-nginx,centos7
lowlevel-forum-nginx,static-nginx
wsgi-proxy,centos7
python2.7-baseline,centos7
python2.7-numerical,python2.7-baseline
python2.7-imaging,python2.7-numerical
python2.7-notebook,python2.7-imaging
centos7-java,centos7
confluence,centos7-java
docker-nginx,centos7
holdit,docker-nginx
mongo,centos7
mongo-create-users,mongo
confluence,centos7
stash,centos7
algo-dev-git,stash
dcmheat,centos7
oshinko-webui,centos7
rpmbuild-centos7,centos7
beautifulsoup,centos7
centos7-powershell,centos7
centos7-systemd,centos7
centos7-for-kitchen-docker,centos7-systemd
hmmer-3.1b2,centos7
kille-complete,centos7
trimmomatic-0.36,centos7
trinityrnaseq-2.2.0,centos7
trinotate-3.0.1,centos7
centos7-apachemodphp,centos7
centos7-apachemodphp-phppgadmi,centos7-apachemodphp
centos7-elk,centos7
centos7-gunicorn,centos7
centos7-sshd,centos7
docker-hubot,centos7-sshd
ansible-test,centos7
docker-cacti-enhance,centos7
jenkinsagent,centos7
elasticsearch,centos7
elastic,elasticsearch
fluentd-k8s,centos7
graylog,centos7
haproxy,centos7
haproxy_backend_definition,haproxy
java,centos7
ferret-docker,java
mongo,centos7
mongo-backup-to-gs,mongo
mongo-rs-initializer,centos7
openshift-client,centos7
docker-oc,openshift-client
postgres,centos7
postgres-db,postgres
centos7-dev,centos7
centos7-go,centos7
centos7-nginx,centos7
centos7-nginx-drupal,centos7-nginx
centos7-nodejs,centos7
gist-reveal,centos7-nodejs
centos7-phantomjs,centos7
centos7-casperjs,centos7-phantomjs
centos7-python,centos7
centos7-mitmproxy,centos7-python
