source,target
rockyter,datascience-notebook
jupyter-datascience,datascience-notebook
sage2-datascience-notebook,datascience-notebook
sandbox,datascience-notebook
docker-jupyter-notebook,datascience-notebook
jupyter-prophet,datascience-notebook
pyradiomics,datascience-notebook
gis-notebooks,datascience-notebook
opencv-notebooks,datascience-notebook
jupyter-vnc,datascience-notebook
dataparrot,datascience-notebook
businessoptics-notebook,datascience-notebook
ds8,datascience-notebook
notebooks,datascience-notebook
data-science-stack,datascience-notebook
serenata-de-amor,datascience-notebook
jupyter-ta,datascience-notebook
jupyterlab,datascience-notebook
jupyterlab-beakerx,jupyterlab
cirrus-notebook,datascience-notebook
jupyter-spatial,datascience-notebook
base-fmpl,jupyter-spatial
squealing-octo-meow,datascience-notebook
docker-notebook,datascience-notebook
jupyter-singleuser,datascience-notebook
jupyter-systemuser,jupyter-singleuser
infino-docker,datascience-notebook
alexandria-workshop-notebooks,datascience-notebook
notebooks,datascience-notebook
cytometry-notebook,datascience-notebook
exploratory_machine_learning,datascience-notebook
heart-disease-prediction,datascience-notebook
datacruncher-stack,datascience-notebook
notebook-bases,datascience-notebook
nipype,datascience-notebook
infomap-docker,nipype
jupyter-notebook-mongodb-qgrid,datascience-notebook
tcgaworkflow-notebook,datascience-notebook
docker-jupyter-tensorflow-scala-kotlin,datascience-notebook
jupyter_all-notebook,datascience-notebook
jupyter_datascience-notebook,datascience-notebook
data8,datascience-notebook
haas-ds,datascience-notebook
mba217-2,datascience-notebook
ugba147,datascience-notebook
ugba147-2,datascience-notebook
machineshop,datascience-notebook
geo-notebook,datascience-notebook
kaiba,datascience-notebook
docker-stacks,datascience-notebook
geo-notebook,datascience-notebook
text-mining,datascience-notebook
astroml,datascience-notebook
docker-notebook,datascience-notebook
pg-datascience-notebook,datascience-notebook
jupyterlab-datascience-notebook,datascience-notebook
jupyter-altair,datascience-notebook
dsnb-sql,datascience-notebook
machinelearning-notebook,datascience-notebook
jupyterlab,datascience-notebook
jupyterlab-py,jupyterlab
jupyter-vega-datascience-workbook,datascience-notebook
babynames,datascience-notebook
octave,datascience-notebook
niak,octave
extend-datascience-notebook,datascience-notebook
iris-jupyterhub-docker-singleuser,datascience-notebook
jupyterhub-datascience-singleuser,datascience-notebook
singularity-comet,datascience-notebook
