source,target
docker-python3,docker-base
docker-python3-uwsgi,docker-python3
factual-docker-nodejs,docker-base
factual-docker-rvm-base,docker-base
factual-docker-rvm-mri,factual-docker-rvm-base
factual-docker-front-deployer,factual-docker-rvm-mri
docker-broadcaster,docker-base
docker-fullstack-web,docker-base
docker-nginx,docker-base
company_website,docker-nginx
docker-postgis,docker-base
tiger-geocoder,docker-postgis
boss-docker-python3,docker-base
docker-pandas,docker-base
docker-kerberos,docker-base
bind9,docker-base
bind9-data,bind9
docker-base-java,docker-base
docker-mesosphere-base,docker-base-java
docker-chronos,docker-mesosphere-base
docker-base-oracle-java,docker-base
docker-marathon-haproxy,docker-base
docker-mariadb-10.0-galera,docker-base
docker-mesos-dns,docker-base
docker-nginx-securish,docker-base
docker-openstack-database,docker-base
docker-openstack-messaging,docker-base
isc-dhcp,docker-base
s3-backed-ftp,docker-base
docker-sinopia,docker-base
atlassian-jira,docker-base
jira,atlassian-jira
jira-service,jira
docker-jdk,docker-base
docker-kafka,docker-jdk
docker-mariadb,docker-base
docker-python3,docker-base
docker-spark,docker-python3
docker-spark-sbt,docker-spark
docker-data,docker-base
docker-fpm,docker-base
docker-nginx,docker-base
holdit,docker-nginx
docker-ruby,docker-base
cr-myrewards-public,docker-ruby
docker-java-jre8,docker-base
docker-nginx,docker-base
docker-php,docker-nginx
docker-wordpress-nosql,docker-php
docker-nodejs-extras,docker-base
docker-php,docker-base
docker-php-debug,docker-php
toroxy,docker-base
docker-draw,docker-base
docker-image-take-down,docker-base
docker-java,docker-base
docker-geoserver,docker-java
docker-sinopia,docker-base
docker-fisheye,docker-base
docker-base-java,docker-base
docker-zookeeper,docker-base-java
docker-druid,docker-zookeeper
docker-bind,docker-base
docker-consul,docker-base
docker-haproxy,docker-base
docker-nginx-basic-auth-proxy,docker-base
docker-registry-auth,docker-nginx-basic-auth-proxy
docker-puma,docker-base
mailcatcher-docker,docker-base
odania-admin,docker-base
odania-core,docker-base
odania-static,docker-base
passenger-docker,docker-base
mission-control,passenger-docker
bef-db,docker-base
docker-collectd,docker-base
docker-grafana,docker-base
docker-graphite,docker-base
docker-heka,docker-base
docker-influxdb,docker-base
docker-rabbitmq,docker-base
docker-ledger,docker-base
docker-artisan,docker-base
docker-beanstalkd,docker-base
docker-lumen,docker-base
haproxy,docker-base
haproxy_backend_definition,haproxy
docker-build-essentials,docker-base
docker-nodejs,docker-build-essentials
docker-ember,docker-nodejs
oracle-java8,docker-base
activator,oracle-java8
sortingoffice,activator
oracle-java9,docker-base
deployment-webhook,docker-base
mongo-base,docker-base
mongo,mongo-base
mongo-create-users,mongo
postgres-base,docker-base
postgres-master,postgres-base
g-streaming,docker-base
globallometree,docker-base
docker-ecs-deployment,docker-base
docker-nginx-cachet,docker-base
docker-unicifs,docker-base
mysqldump-to-s3,docker-base
java7,docker-base
cassandra,java7
cassandra-svc,cassandra
java8,docker-base
ot-java-jprofiler-linux,java8
lets-nginx,docker-base
docker-proxy,lets-nginx
squid-squad,docker-proxy
sap-jvm8,docker-base
socat,docker-base
docker-java-jdk,docker-base
docker-sbt,docker-java-jdk
greeter-service-example,docker-sbt
docker-supervisord,docker-base
docker-lychee,docker-supervisord
nightly-gcc-trunk-docker-image,docker-base
