source,target
waecm-2018-group-16-bsp-1-backend,gradle
infinity-build,gradle
androidci,gradle
entities-engine,gradle
engineperformanceprocess,gradle
interfaceconverter,gradle
interfacestream,gradle
publishtodb,gradle
protobuf-jar-publisher,gradle
jericho-victim,gradle
gradle-ami-builder,gradle
ggdc,gradle
gradle-glibc,gradle
kubernetes-configmap-healthcheck,gradle
kubernetes-node-slack-notifier,gradle
kubernetes-volume-backup,gradle
blockchain-monitoring,gradle
blockchain-middleware,gradle
scala,gradle
sbt,scala
sbt-runner,sbt
gedcom-web-view,gradle
docker-detekt-cli,gradle
demobaz,gradle
ct_back_office,gradle
mytrip,gradle
rbr_device_platform,gradle
fastairport,gradle
l24u-riftlocmgr,gradle
gradle-node,gradle
docker-gradle,gradle
bash-shortcuts,docker-gradle
browncompute-inventory-dal,gradle
audit-admin-mongo,gradle
consumer-organisasjon,gradle
consumer-personal,gradle
consumer-vigokodeverk,gradle
health-adapter,gradle
provider,gradle
springer,gradle
springer-adapter-administrasjon-kodeverk,gradle
springer-adapter-organisasjon,gradle
springer-adapter-personal,gradle
vigokv-adapter,gradle
docker-flexunit,gradle
dropwizard,gradle
alpine-jdk_8-gradle_3_5,gradle
weatherfor,gradle
trigger-sonar-scanner,gradle
ccd-data-store-api,gradle
ccd-definition-store-api,gradle
ccd-user-profile-api,gradle
cmc-claim-store,gradle
em-anno,gradle
em-redact,gradle
service-auth-provider-app,gradle
tribunals-case-api,gradle
flex-sdk,gradle
spring-boot-readiness,gradle
jenkins-slave-gradle,gradle
http,gradle
http-client,http
jotlin,gradle
ionic2-android,gradle
signal-cli,gradle
mtg-core,gradle
steemit-data-analysis-platform,gradle
testrepot,gradle
gradle-postgres-client,gradle
gradle-psql,gradle
docker-axelor-development-kit,gradle
docker-axelor-business-suite,docker-axelor-development-kit
automatic-test-server,gradle
gradle-cross,gradle
airsdk,gradle
digitrecognizer-optimizer,gradle
acceptance-testing,gradle
android-environment,gradle
realpad-build-pipelines,gradle
service-names-port-numbers,gradle
kotlin-native,gradle
kotlin-native-helloworld,kotlin-native
minkonto,gradle
authorization,gradle
android-for-excited,gradle
javaee-webapp-development-with-docker,gradle
n4j,gradle
docker-gradle-git,gradle
gradle-docker,gradle
android,gradle
docker-generator-m-ionic,android
gradle-flash,gradle
gradle-angular2,gradle
docker,gradle
ci,docker
release,ci
evidence-newsreader-k8s-rite,gradle
docker-gradle-gitcrypt,gradle
twilio-api-faker,gradle
sourcestream,gradle
xvfb-browser-gradle,gradle
gradle-kotlin,gradle
eureka,gradle
eurekaproj,eureka
