source,target
ot-java-jprofiler-linux,java8
turbine,java8
hadoop-ha-docker,java8
henplus,java8
ib-gateway,java8
go-agent,java8
elasticsearch,java8
elastic,elasticsearch
logstash,java8
logstash-output-jdbc,logstash
banner9-admin,java8
banner9-selfservice,java8
xp-app,java8
elk,java8
elk-udp,elk
dynamodb,java8
ant,java8
docker-ant,ant
cas,java8
cas-dev,cas
teamcity-agent,java8
docker-teamcity-agent,teamcity-agent
tomcat8,java8
activiti-engine-docker,tomcat8
dholiwood.com,java8
jainishshah,java8
jainishshah.com,java8
zookeeper-exhibitor,java8
exhibitor,zookeeper-exhibitor
ib-gateway,java8
teamcity-server,java8
docker-claimer-teamcity,teamcity-server
cargo8,java8
wildfly8,java8
keycloak,wildfly8
activiti-cloud-sso-idm,keycloak
tomcat8-java8,java8
amc-docker,java8
mythings,java8
ffmpeg,java8
php53,ffmpeg
teamcityagent-common,java8
teamcityagent-android,teamcityagent-common
youtrack,java8
docker-ib,java8
stratio-cassandra-ds-agent,java8
docker-java8-image-magick,java8
logstasho,java8
swagen,java8
aiko,java8
cassandra,java8
cassandra-svc,cassandra
elasticsearch,java8
elasticsearch-icu,elasticsearch
kafka,java8
prometheus-kafka-consumer-group-exporter,kafka
spark,java8
docker-spark,spark
docker-spark-sbt,docker-spark
zookeeper,java8
zookeeper-rancher,zookeeper
aiko,java8
geoserver,java8
geoserver-postgis,geoserver
turbine,java8
jdk-buildbox,java8
docker-ubuntu-dev,java8
activemq,java8
messaging-server,activemq
maven3,java8
tomcat8,java8
jspwiki,tomcat8
java8_maven,java8
presto,java8
jmeter,java8
aws-jmeter-slave,jmeter
teamcity-agent,java8
teamcity-agent-docker-ivy,teamcity-agent
tomcat8,java8
solr4,tomcat8
tomcat8,java8
teamcity,tomcat8
tomcat7,java8
jasperserver-cp,tomcat7
graylog2-docker,java8
kafka-monitor,java8
java8-scala-sbt,java8
glassfish4,java8
wildfly10,java8
wildfly8,java8
opacapp-ci,java8
kotlin,java8
mvn,java8
admin,mvn
gradle,java8
waecm-2018-group-16-bsp-1-backend,gradle
apache-tomcat8,java8
asciidoctor,java8
dynamodb,java8
fakes3,java8
aws-s3,fakes3
activator,java8
sortingoffice,activator
flyway,java8
flyway-postgres,flyway
activator,java8
docker-activator,activator
docker-activator,java8
docker-activator-min,java8
docker-sbt,java8
greeter-service-example,docker-sbt
chrome-node-js,java8
firefox-node-js,java8
yeoman,java8
yeoman-polymer,yeoman
dynamodb,java8
jenkins,java8
hms-jenkins,jenkins
dev-base,java8
boost-cpp,dev-base
nexus,java8
ciinabox-nexus,nexus
cseg,java8
