source,target
solo,maven
docker-maven-german,maven
spring-mvc-showcase,maven
activiti-cloud-apps,maven
activiti-cloud-audit,maven
activiti-cloud-audit-mongodb,maven
activiti-cloud-gateway,maven
activiti-cloud-modeling,maven
activiti-cloud-modeling-backend,maven
activiti-cloud-query,maven
activiti-cloud-registry,maven
example-runtime-bundle,maven
memoryhog,maven
rest-assured-docker,maven
rest-assured-simpler,maven
subversion-plugin,maven
java-build-base,maven
database-uploader,maven
maven-aws,maven
maven3-base,maven
deer,maven
posts-xml-analyzer,maven
live-client-springboot,maven
mokulive-server-callback,maven
maxwell,maven
aws-api-import,maven
backend-demo,maven
alfresco-api-gateway,maven
as-build-tools,maven
maven-3.5-jdk-8-awscli,maven
maven-3.5-jdk-8-node-8.9-npm-5.5,maven
banana,maven
node-java,maven
podigg-lc-hobbit,node-java
spring-boot-rest-example,maven
maven-docker,maven
maven-8-aws-cli-docker,maven-docker
stackdriver-zipkin,maven
docker-springframework,maven
pdf-annotations-extractor,maven
spring-petclinic,maven
carapp,maven
rdap-ingressd,maven
whowas-service,maven
docker-aut,maven
chat,maven
docker-symbaloo-test-base,maven
glassfish-ci-images,maven
dockerswagger,maven
db-dumper-service,maven
cas-overlay,maven
anagram-moj,maven
maven-jdk8-phantomjs,maven
iot-esp8266-whizzer,maven
fedx4askomics,maven
asqa.mvn,maven
maven-build-essential,maven
neoemf,maven
owl,maven
cotizacion,maven
rx-more-cowbell-api,maven
primertech-base,maven
primertech-angular-rest,primertech-base
disconf,maven
crowd-trees,maven
ureplicator,maven
jmx_exporter,maven
dropwizard-rest-stub,maven
basexhttp,maven
dba,basexhttp
link-manager-basex,dba
mvn-conf,maven
event-detection,maven
iota-node,maven
maven.repository,maven
rsimulator-proxy-recorder,maven
intertalk,maven
java-fullstack,maven
iota-node,maven
maven-chrome-chromedriver-unstable2,maven
argos-backend,maven
findmyrun-backend,maven
findmyrun-frontend,maven
zookeeper-exhibitor,maven
exhibitor,zookeeper-exhibitor
temp,maven
synapseaclupdate,maven
brvith-orchestrator,maven
brouter-app,maven
rakam,maven
buzzleeureka,maven
maven-npm,maven
docker-maven-private,maven
socletech,maven
java-dind-builder,maven
iotaledger-iri,maven
rgt-base,maven
bisq,maven
quartz-http,maven
spring-doge-new,maven
onehippo-es-demo,maven
incubator-guacamole-client,maven
apollo,maven
dubbo-admin,maven
snow-leopard,maven
dbmaven,maven
sawtooth-dev-java,maven
pokemon,maven
todo-demo-app,maven
voting-demo-app,maven
httpecho,maven
aws-codepipelines-dashboard,maven
fingerprint-javaut,maven
docker-mvn,maven
cwlviewer,maven
hapi-fhir,maven
citrus,maven
citrus-admin,maven
maven-339-jdk8_7,maven
maven-gosu,maven
maven-ansible-aws-gosu,maven-gosu
maven-node-docker,maven
maven-yarn,maven
bamboo-agent,maven
jenkins,maven
hms-jenkins,jenkins
todo-backend,maven
mvn-npm-tools,maven
cql-translation-service,maven
veracode-ci-examples,maven
forge,maven
yadp-master,maven
mvnawsdocker,maven
maven-bundler,maven
pipeline-assembly,maven
conference-web,maven
cherrynic,maven
spring-cloud-eureka,maven
webhook-slack,maven
shipwreck-demo,maven
beagen,maven
ice_iloop,maven
blueocean-acceptance-test,maven
spring-cloud-config-server,maven
clamav-rest,maven
mvn,maven
admin,mvn
java-builder,maven
nexus,java-builder
ciinabox-nexus,nexus
opendaylight,maven
plantuml-server,maven
plantuml_server,plantuml-server
autoindex,maven
fox,maven
limes,maven
sessa,maven
onto-robot,maven
owltools,maven
data-skos,maven
dc16-digitalcitizen,maven
dc16-oidc-proxy,maven
dc16-signing,maven
dc16-signing-sample,dc16-signing
oxalis,maven
vefa-rulesupport,maven
vefa-validator,maven
soskit,maven
innovation-trade-injector,maven
fenixedu,maven
welcome-server,maven
atsea_app,maven
movieplex7-tomee,maven
movieplex7-tomee2,maven
config-server,maven
java-maven-git,maven
dotwebstack-theatre,maven
dotwebstack-theatre-legacy,maven
bad-java-app,maven
twitter-fetch,maven
money-tracker,maven
docker-scatter,maven
scatter-server,maven
springbootdemo,maven
dropbox,maven
crystalvault,dropbox
s3s3mirror,maven
build-env,maven
spring-services,maven
maven-docker,maven
keboola-adform-masterdata-extractor,maven
keboola-ares-ex,maven
keboola-bingads-ex,maven
keboola-ex-appnexus,maven
keboola-ex-leonardo,maven
keboola-ex-twitterads,maven
keboola-ftp-extractor,maven
keboola-intercom-wr,maven
keboola-mailkit-ex,maven
keboola-mailkit-writer,maven
keboola-silverpop-writer,maven
swagger-codegen,maven
lostinspace,maven
openlrs,maven
rage-analytics-realtime,maven
vcheckercontainer,maven
concourse-mvn-resource,maven
maven3-python3-awscli,maven
psps,maven
maven-resource,maven
swiss-knife,maven
httpfileuploadcomponent,maven
sumo-docker,maven
sumo-simmer,sumo-docker
printer-server,maven
repairnator,maven
jenkins-hue,maven
maven-pipeline,maven
java-mongodb-driver,maven
java-mongodb-driver-compose,maven
jetty,maven
jolokia,jetty
maven-prewarmed,maven
slow-kafka-consumer,maven
mateplus,maven
tomcat-maven,maven
delta-service,tomcat-maven
extraction-japanese,maven
entry-resource,maven
ldp-marmotta,maven
stanbol-launcher,maven
pokemon-analizer,maven
goalp-planning-scalability-evaluation,maven
docker-cs-java,maven
test-cassandra-repository,maven
akalin,maven
fujimiya,maven
hestia,maven
tomorinao,maven
openscoring,maven
less-homelessness-api,maven
openrouteservice,maven
rassp,maven
opentripplanner,maven
opentripplanner-data-prepare,opentripplanner
opentripplanner,maven
kindle-batch,maven
kindlereport,maven
whatday-batch,maven
journal,maven
dubbo-demo,maven
java7-maven,maven
dialogchef-persistence,maven
spring-petclinic,maven
casim,maven
evacuation-web-app,maven
sys-stack-serv-customer,maven
tomcat_maven,maven
sb-request-replay-demo,maven
sb-request-reply-demo,maven
httpfileuploadcomponent,maven
currencyexchange,maven
mongoatlas,maven
trianglecodingchallenge,maven
nsg-agent,maven
maven-gcc-python,maven
apm-example-polyglot-zipkin-dropwizard,maven
apm-example-polyglot-zipkin-wildfly-swarm,maven
builder,maven
test,builder
sudokucrack,maven
jenkins-slave-java,maven
jenkins-slave-nodejs,jenkins-slave-java
jenkins-slaves-npm-grunt,jenkins-slave-nodejs
nikita-noark5-core,maven
basex-dba,maven
cadet,maven
cadet-search-lucene,maven
concrete-stanford,maven
stretcher,maven
movieplex7,maven
spanners-builder,maven
dubbo-admin,maven
maven-3.3.9-jdk-8-node-6.9.x-npm-3.10.x,maven
maven-awscli-3.3.9-jdk-8,maven
hypecyclebot,maven
export-ant,maven
export-lucene,maven
web-spring,maven
janus,maven
langident,maven
textmod,maven
topmod,maven
spring-cloud-config-server,maven
turbine-hystrix-dashboard,maven
docker-apollo,maven
analyzer2,maven
datamodel,maven
ingestion,maven
test,maven
docker-mitreid-oidc-server,maven
secure-file-uploader,maven
s3datasetsource,maven
services,maven
aerospike-delete-set,maven
ioos-sos-compliance-tests,maven
sensor-web-harvester,maven
sos-injector-db,maven
sos-injector-example,maven
iri,maven
iota-iri,iri
hsac-fitnesse-fixtures-docker,maven
caller-service,maven
callme-service,maven
cicd-poc,maven
tdm-payment,maven
sakai-base,maven
plantuml,maven
maven-mule35-ce,maven
jbake-unofficial-docker,maven
maven-dind,maven
plt,maven
methodesagiles,maven
config,maven
waazdoh.web,maven
smartshop,maven
maven-git,maven
test-analytics-ng,maven
docker-discovery,maven
jenkins-slave-maven,maven
jenkins-slave-grunt,jenkins-slave-maven
reactive-lrucache,maven
typescript-angular2-swagger-codegen,maven
mrfbasedockerimages,maven
cve-2014-0050,maven
cve-2017-5638,maven
mantisbt-sync-core,maven
mantisbt-sync-rest,maven
awsmaven,maven
docker-adoc-image,maven
myhost,maven
myhost-client,maven
random,maven
twitter-feed,maven
justrelease,maven
maven-dind,maven
guacamole,maven
guacamole-docker,guacamole
yakshopbdd,maven
spring-boot-tomcat-mysql-app,maven
currency,maven
demo-slot-server,maven
fileextractor,maven
schematron,maven
flume,maven
sc6-flume,flume
zeppelin,maven
nds-zeppelin,zeppelin
kinesis-s3-persister,maven
zkcopy,maven
crypto-bi,maven
crypto-scraper,maven
p2pdashboard,maven
juseppe,maven
maven-gauge,maven
rocketmq,maven
docker-pivotal-burndown,maven
musicmeterparser,maven
ficontent.gaming.enabler.leaderboard,maven
maven-wedeploy,maven
genericrestwebapp,maven
maven-nats,maven
studybox_cd,maven
cidemodocker,maven
gephi-toolkit-forceatlas2-standalone,maven
kubernetes,maven
geoweb-backend,maven
buildcontainer,maven
openscoring-docker,maven
shipit,maven
kampuni,maven
keybox,maven
metrics,maven
service-box,maven
service-demo,maven
service-dummy,maven
service-email,maven
service-identity,maven
service-jira,maven
service-provisioning,maven
service-run,maven
service-saml,maven
service-slack,maven
service-sql,maven
service-twilio,maven
jenkinsfile-runner,maven
stats4osio,maven
maven-chrome,maven
google-chrome-web-driver,maven
javagraduate,maven
docker-ols-loader,maven
ebi-patternanalysis-pipeline,maven
parts-catalog-api,maven
qrcode-factory,maven
stop_alert,maven
nexus3,maven
adop-nexus,nexus3
concrete-stanford,maven
mavenim,maven
maxwell,maven
plantuml-server,maven
fag-ark-persistering-fangereg,maven
reaktiv-logistikk,maven
cresset,maven
docker-maven-ru-locale,maven
kbc-salesforce-extractor,maven
kbc-wave-writer,maven
keboola,maven
maven3-jdk7-node-npm-bower,maven
tachyondev-build,maven
hadoopdev-build,tachyondev-build
sample-dropwizard-service,maven
countries-spark,maven
countries-spring-boot,maven
rdap-ingressd,maven
rdapd,maven
guacamole,maven
custom-guacamole,guacamole
shopme_backend,maven
maven-3.2.5-jdk-6-glassfish3,maven
fpmlutility-camel,maven
quizduellclone,maven
air,maven
test-ignite,maven
mtsar,maven
plantuml-server,maven
belaybuddy-ci,maven
incubator-zeppelin,maven
sample-spring,maven
spring-mongodb-docker-data-rest,maven
parquet-tools,maven
estatio-docker,maven
crowd-ldap-server,maven
speech2text,maven
server-job-management-job-handling,maven
alpine-javapack,maven
mvn-conf,maven
nikita-noark5-core,maven
omnisession-ms,maven
security-ms,maven
event-detection,maven
packagetrack,maven
nutz-web,maven
cumulusrdf,maven
sparql-dump,maven
docker-mvn-selenium,maven
ca-api,maven
xrtb,maven
dp-concourse-tools-node-java,maven
mutex,maven
build-env,maven
stress-tools,maven
winery,maven
bosh-cloudstack-cpi-core,maven
db-dumper-concourse,maven
espr4fastdata,maven
orienteer,maven
examples,orienteer
hello,maven
hello-world,hello
docker-hub-initial-tag-push-repro,hello-world
maven3.5.0-gauge,maven
treeservice,maven
waterservice,maven
espr4fastdata,maven
maven-autotools-awscli,maven
appengine-deploy,maven
dockerwebapp,maven
employeemgmt,maven
jettydockerhelloworld,maven
jdk-8,maven
maven-enhanced,maven
mock-lti2-consumer,maven
docker-maven-node,maven
alexa-java-builder,maven
iota-node,maven
prometheus-java-spring-boot,maven
livingfire-docbook,maven
jscheme,maven
docker-bamboo-agent,maven
angular-spring-heroes,maven
face_checkin_ws,maven
face_recog_daemon,maven
alpine-java8-maven,maven
launch4j-build-image,maven
threaddump-anonymous,maven
toolbox,maven
benji-rook,toolbox
toolbox-dind,maven
marytts,maven
marytts-builder-hsmm-prep,marytts
collector,maven
sumologic-collector-ab,collector
distributor,maven
metriccalculator,maven
metricservice,maven
metricui,maven
replay,maven
sessionizer,maven
twittersample,maven
authentication,maven
dashboard-crawler,maven
ticket-back,maven
openapi-diff,maven
telegraf-homebase,maven
github-trending-api,maven
seminar-manager-api,maven
rubygems-servlet,maven
amazon-echo-ha-bridge,maven
dockerized-spring-boot-service-1,maven
odl-env,maven
docker-ols-loader,maven
bigbricks-docker,maven
amazon-athena-proxy,maven
multiposter,maven
dynamodb-cross-region-replication,maven
zeppelin,maven
zeppelin-mesos,zeppelin
solr-calcite-example,maven
feed-service,maven
rest_aplicacao2,maven
docker-solr-sunspot,maven
chat_service,maven
s4s-fhir-broker,maven
node-java,maven
binlog2kafka,maven
docker-grizzly-server,maven
warcbase,maven
maven-custom,maven
aws-apigateway-importer,maven
maven-flyway,maven
docker-aws-maven,maven
pipeline,maven
provesense-api,maven
vcell-batch,maven
vcell-clientgen,maven
vcell-master,maven
transitime-docker,maven
sos,maven
se-sos52n,sos
maven-build-environment,maven
iota-node,maven
proxylive,maven
kobe-evaluator,maven
docker-gae-java,maven
docker-maven-python-fabric,maven
slacktojirabot,maven
twitter2kafka,maven
s3proxydocker,maven
sumo-docker,maven
fiware-sinfonier-backend,maven
restengine-ci,maven
config-service,maven
news-ws,maven
organism-ws,maven
procedure-ws,maven
service-ws,maven
zipcode-ws,maven
airlock.gate,maven
cajrr,maven
docker-fess,maven
maven-chrome-certs,maven
docker-maven,maven
java-client,docker-maven
skytools-java,maven
maxwell,maven
mavenim,maven
localstack,maven
initialised-localstack,localstack
kiekpad-analysis,maven
kiekpad-viz-provider,maven
researchpaper,maven
dynamodb-titan,maven
kafka-topic-client,maven
springboot-docker,maven
customer-console-demo,maven
bfscanner,maven
docker-maven,maven
ui-test,docker-maven
maven-rpm,maven
crowd-ldap-server,maven
search-guard-tlstool,maven
flight-service,maven
investments-service,maven
notification-service,maven
travel-service,maven
tasker,maven
maven_socat,maven
backend,maven
migrate-backend,backend
librepair,maven
repairnator,maven
bag-database,maven
seed-jee,maven
seed-springboot,maven
tachyon-docker,maven
ignite,maven
hello-spinnaker,maven
boilerpipe-api-java,maven
taverna-server,maven
son-sp-infrabstract,maven
kotlin-maven3-junit4-runner,maven
docker-demo-spring-boot,maven
apache-isis,maven
oxgarage,maven
maven-cf,maven
doctor-kafka,maven
maven-javafx,maven
kafdrop,maven
banana,maven
docker,maven
ci,docker
release,ci
website,maven
docker-maven-ffmpeg,maven
docker-yarn-mvn-polymer,maven
concourse-asciidoc-confluence-resource,maven
couchdb-lucene,maven
gtfs-realtime-validator-docker,maven
haverland-smartwave-prometheus-exporter,maven
maven0,maven
openrouteservice,maven
maven-docker,maven
writers-spring-backend,maven
vcheckerbwrcnt,maven
vcheckernpmcnt,maven
heritrix-worker,maven
httpfs,maven
tinycdxserver,maven
ukwa-ui,maven
waybacks,maven
maven-erlang,maven
saulgoodman,maven
ositest,maven
restassured,maven
springboot,maven
build-v1,maven
tsp,maven
gitlabci-maven,maven
docker-ols-loader,maven
intapp.databasemigration,maven
metadata-crawler,maven
maven-make,maven
voltha-onos,maven
blueprint,maven
java-technologies,maven
airlock.gate,maven
cve-2016-4977,maven
docker-maven3-jdk7,maven
docker-openjdk-maven-nodejs,maven
nexus-blobstore-s3,maven
titan,maven
mvn-jdk8-xvfb,maven
aws-apigateway-swagger,maven
plantuml-server,maven
31415,maven
java8-maven-phantomjs,maven
maven3-phantomjs2,maven
friendmanagement,maven
spring-boot-admin,maven
fizzbuzzdocker,maven
docker-android-maven,maven
docker-maven-rpm,maven
mavenspringbootjkforum,maven
camel,maven
aws-apigateway-importer,maven
redash-amazon-athena-proxy,maven
reactivechatapp,maven
xmlvalidator,maven
swagger-codegen,maven
maven-china,maven
kafka-producer,maven
swagger-codegen,maven
tachyon-base,maven
computer-database-env,maven
cakeshop,maven
cornea,maven
maxwell,maven
zing-java-build,maven
cassandra,maven
cassandra-svc,cassandra
spring-boot-init,maven
keywhiz,maven
rascaloid,maven
