source,target
sygma,miniconda
pyopencl_tutorial,miniconda
openptv-python,miniconda
image2negative,miniconda
fasticlip,miniconda
ipyrad,miniconda
cooler,miniconda
bird-base,miniconda
adagucserver,bird-base
gridengine,miniconda
gridengine-wps,gridengine
qa-dkrz,miniconda
slurm,miniconda
slurm-wps,slurm
clipper,miniconda
cutadapt,miniconda
fastq-tools,miniconda
input-normalization,miniconda
makebigwigfiles,miniconda
star,miniconda
star-fusion,star
umi_tools,miniconda
nestlog,miniconda
alpine-jupyter-minimal,miniconda
analysis-notebook,miniconda
webdev-toolkit,miniconda
bam2junc,miniconda
htseq_conda_docker,miniconda
prokka_conda_docker,miniconda
rmats_conda_docker,miniconda
wgcna_conda_docker,miniconda
sentiment-analyzer,miniconda
deeptools,miniconda
everware-miniconda,miniconda
docker-arcsi,miniconda
ngi-rnaseq,miniconda
neuropower,miniconda
assemble2,miniconda
rnaseq,miniconda
sifra,miniconda
airflow,miniconda
tacc-ipyrad,miniconda
optitype,miniconda
sciruby-notebooks,miniconda
bcr-phylo-benchmark,miniconda
spurf,miniconda
gs1-crawler,miniconda
lab-data-management,miniconda
stimulus_generation,miniconda
ngs-tools,miniconda
saccharomyces-cerevisiae,ngs-tools
python-lightgbm,miniconda
pytorch,miniconda
paysage,pytorch
tectonic-docker,miniconda
fin-jupyter,miniconda
phyloinfer,miniconda
spurf,miniconda
insertion-assembly,miniconda
pcr,miniconda
pyanalysis,pcr
docker-iris,miniconda
magma,miniconda
magma-plus,magma
ocgis,miniconda
sequtils,miniconda
deeptools,miniconda
nf-toxomix,miniconda
damon,miniconda
simulation-cluster,miniconda
spyking,miniconda
gunicorn,miniconda
gunicorn-py3,gunicorn
python-science,miniconda
shoreline-task,miniconda
sen2cor-docker,miniconda
metaseq,miniconda
miniconda-neologd,miniconda
mecab-bottle,miniconda-neologd
miniconda-r,miniconda
