source,target
minideb-cci,minideb-extras
apache,minideb-extras
homeautomation-backend,apache
cassandra,minideb-extras
cassandra-svc,cassandra
codeigniter,minideb-extras
debian-base-buildpack,minideb-extras
discourse,minideb-extras
discourse-web,discourse
dokuwiki,minideb-extras
hsbne-dokuwiki,dokuwiki
dreamfactory,minideb-extras
drupal,minideb-extras
drupal-kitematic,drupal
elasticsearch,minideb-extras
elastic,elasticsearch
express,minideb-extras
express-app,express
ghost,minideb-extras
blog,ghost
jasperreports,minideb-extras
java-play,minideb-extras
jenkins,minideb-extras
hms-jenkins,jenkins
joomla,minideb-extras
joomla-apache2-mod-php5,joomla
kafka,minideb-extras
prometheus-kafka-consumer-group-exporter,kafka
kibana,minideb-extras
kibana-mavel-sense,kibana
laravel,minideb-extras
arguesecure,laravel
magento,minideb-extras
magento-setup,magento
mariadb,minideb-extras
che-mariadb,mariadb
matomo,minideb-extras
mediawiki,minideb-extras
mediawiki-ldap,mediawiki
memcached,minideb-extras
memcached-verbose,memcached
mongodb,minideb-extras
crits_mongo,mongodb
moodle,minideb-extras
mysql,minideb-extras
concrete5-mysql,mysql
nginx,minideb-extras
dockerized-nginx-tester,nginx
odoo,minideb-extras
odoo-adhoc,odoo
odoo-adhoc-argentina,odoo-adhoc
opencart,minideb-extras
orangehrm,minideb-extras
osclass,minideb-extras
owncloud,minideb-extras
owncloud-ldap,owncloud
parse,minideb-extras
parse-dashboard,minideb-extras
phabricator,minideb-extras
docker-phabricator-sprint,phabricator
phpbb,minideb-extras
forum-loader,phpbb
phpmyadmin,minideb-extras
phpmyadmin-dev,phpmyadmin
piwik,minideb-extras
piwik-redis,piwik
postgresql,minideb-extras
docker-postgres,postgresql
docker-papertrail-postgres,docker-postgres
prestashop,minideb-extras
docker-prestashop,prestashop
rabbitmq,minideb-extras
rabbitmqdockermqtt,rabbitmq
rails,minideb-extras
locomotive,rails
redis,minideb-extras
redis-amazon-backup,redis
redis-sentinel,minideb-extras
redmine,minideb-extras
docker-redmine-timesheet,redmine
solr,minideb-extras
liresolr,solr
suitecrm,minideb-extras
swift,minideb-extras
swift-vapor,swift
tensorflow-inception,minideb-extras
tensorflow-serving,minideb-extras
testlink,minideb-extras
tomcat,minideb-extras
tomcat-volumes-exposed,tomcat
wildfly,minideb-extras
keycloak-quickstarts,wildfly
wordpress,minideb-extras
morro-de-sao-paulo,wordpress
zookeeper,minideb-extras
zookeeper-rancher,zookeeper
df-docker,minideb-extras
bitnami-docker-redis,minideb-extras
non-root-kafka,minideb-extras
zookeeper,minideb-extras
self-cleaning-zookeeper,zookeeper
deezloader,minideb-extras
testload,minideb-extras
comanage,minideb-extras
redis,minideb-extras
redis-restorable,redis
deezloader,minideb-extras
cloudapp,minideb-extras
pocketpe,minideb-extras
