source,target
refactored-carnival,minimal-notebook
r-datascience-notebook,minimal-notebook
jupyter,minimal-notebook
scikit-learn,jupyter
jupyter-c-kernel,minimal-notebook
cobra-docker,minimal-notebook
cobrame,minimal-notebook
nbmpi,minimal-notebook
mlnd-notebook,minimal-notebook
brightway2,minimal-notebook
brightway2-tests,minimal-notebook
jupyter,minimal-notebook
jupyter-beakerx,jupyter
gds,minimal-notebook
openmodes,minimal-notebook
scrapper,minimal-notebook
docker-visualization-xbeach,minimal-notebook
scipy-notebook,minimal-notebook
scipy-notebook-noto-sans-cjk-jp,scipy-notebook
python-notebooks,minimal-notebook
r-notebooks,minimal-notebook
ruby-notebooks,minimal-notebook
jupyter_r_microarrays,minimal-notebook
s2i-minimal-notebook,minimal-notebook
datascience-notebook,minimal-notebook
rockyter,datascience-notebook
scipy-notebook,minimal-notebook
pysb,scipy-notebook
tdd-fibonacci-example,minimal-notebook
jupyter-notebooks,minimal-notebook
jupyter,minimal-notebook
tensorflow,jupyter
fastai,tensorflow
kernel_gateway,minimal-notebook
jupyter-scipy-notebook,minimal-notebook
sql-notebook,minimal-notebook
rdkit_jupyter,minimal-notebook
swan-jupyter,minimal-notebook
scipy-notebook,minimal-notebook
techfundamentals,scipy-notebook
planet-notebooks,minimal-notebook
octave-notebook,minimal-notebook
ashoka-notebook,minimal-notebook
r-notebook,minimal-notebook
r-bayes,r-notebook
scipy-notebook,minimal-notebook
astropy-jupyterlab-docker,scipy-notebook
toree-notebook,minimal-notebook
jupyter-notebook,minimal-notebook
jupyter-scipyserver-base,jupyter-notebook
jupyter-scipyserver,jupyter-scipyserver-base
jupyter-deeplearning,jupyter-scipyserver
jupyter-torch,jupyter-deeplearning
jupyter-test-notebook,minimal-notebook
facets,minimal-notebook
uiamjupyter,minimal-notebook
crossmap-notebook,minimal-notebook
hippocampus-notebook,minimal-notebook
scipy-notebook,minimal-notebook
simupop-notebook,scipy-notebook
vtna,minimal-notebook
docker-minimal-julia-notebook,minimal-notebook
javascript-notebook,minimal-notebook
nbserver,minimal-notebook
jupyter_minimal-notebook,minimal-notebook
minimal-lab,minimal-notebook
docker-stacks,minimal-notebook
jupyter-stacks,minimal-notebook
pyspark-jupyter,minimal-notebook
biss2016-notebook,minimal-notebook
course-xgboost,minimal-notebook
jupyter-k8s-singleuser,minimal-notebook
pymc3,minimal-notebook
jupyter-notebook,minimal-notebook
jupyter-k3d-notebook,jupyter-notebook
science,minimal-notebook
sige_wires,minimal-notebook
jupyter-rsl,minimal-notebook
base-systemuser,minimal-notebook
minimal-systemuser,base-systemuser
default-systemuser,minimal-systemuser
jupyter-octave,minimal-notebook
haskell-notebook,minimal-notebook
julia-notebook,minimal-notebook
jupyter-haskell-nbk,minimal-notebook
jupyter-julia-nbk,minimal-notebook
jupyter-ruby-nbk,minimal-notebook
jupyter-mod,minimal-notebook
jupyter-demo,minimal-notebook
limaaag,minimal-notebook
dockerrepo2,minimal-notebook
jupyter-caf-kernel,minimal-notebook
opencoarrays_jupyter,minimal-notebook
test,minimal-notebook
vdalab_docker_jupyter4mongo,minimal-notebook
bokeh-server,minimal-notebook
openshift-jupyter-ds,minimal-notebook
jupyterhub-notebook,minimal-notebook
capstone,minimal-notebook
nlp-python-safari,minimal-notebook
