source,target
phppgadmin,nginx-php
phppgadmin-authallowed,phppgadmin
adminer,nginx-php
sqladminer,adminer
littleship,nginx-php
nginx-php-ssmtp,nginx-php
roadiz,nginx-php
roadiz-standard-edition,nginx-php
nginx-php-plus,nginx-php
freshrss,nginx-php-plus
dokuwiki,nginx-php
hsbne-dokuwiki,dokuwiki
matomo,nginx-php
nextcloud,nginx-php
nextcloud-components,nextcloud
nextcloud12-tempfix,nginx-php
h5ai,nginx-php
orocrm,nginx-php
grav,nginx-php
maxmalm.se-grav,grav
php-babel-scss,nginx-php
scp,nginx-php
neos-bare,nginx-php
nc-scripts,nginx-php
oc-scripts,nginx-php
docker-piwik,nginx-php
freshrss,nginx-php
qraidcode,nginx-php
matomo,nginx-php
nextcloud,nginx-php
nextcloud-apache,nextcloud
privatebin,nginx-php
shaarli,nginx-php
walle-web,nginx-php
docker-pgadmin,nginx-php
selfoss,nginx-php
php-app-ssh,nginx-php
docker-ssh,php-app-ssh
docker-ssh-paxctl,docker-ssh
sachart,nginx-php
docker-dev-flow-neos,nginx-php
docker-dev-typo3,nginx-php
paperwork,nginx-php
nextcloud,nginx-php
nextcloud-smb,nextcloud
redaxo5,nginx-php
pgadmin,nginx-php
roundcube-postfixadmin,nginx-php
adminer,nginx-php
adminer-editor,adminer
phpmyadmin,nginx-php
phpmyadmin-dev,phpmyadmin
tiny-tiny-rss,nginx-php
grav,nginx-php
tiny-tiny-rss,nginx-php
php-app-ssh,nginx-php
php-testing,nginx-php
jenkins-slave-php,php-testing
typo3-flow-neos-abstract,nginx-php
neos-protobrew-distribution,typo3-flow-neos-abstract
nextcloud,nginx-php
nextcloud-cron,nextcloud
nextcloud,nginx-php
nextcloud-smb-cron,nextcloud
ubuntu-nginx-php-ssmtp,nginx-php
ssl-decoder,nginx-php
cacti,nginx-php
cacti-thold,cacti
wordpress-nginx-upload_max_filesize,nginx-php
docker-flarum-china,nginx-php
phpmyadmin,nginx-php
phpmyadmin2,phpmyadmin
roadiz,nginx-php
standard-edition,nginx-php
processmaker,nginx-php
solder,nginx-php
nginx-processmaker,nginx-php
mediawiki,nginx-php
mediawiki-ldap,mediawiki
cacti,nginx-php
automatedbuild-cacti,cacti
docker-nextcloud,nginx-php
docker-walle,nginx-php
cacti,nginx-php
soul-soldiers,nginx-php
gentilis,nginx-php
paperwork,nginx-php
drupal,nginx-php
drupal-kitematic,drupal
symfony,nginx-php
dunkerque,symfony
criteria,nginx-php
flow-neos-abstract,nginx-php
analytics,nginx-php
freshrss,nginx-php
matomo,nginx-php
mediawiki,nginx-php
burnerpedia.org,mediawiki
nextcloud,nginx-php
nextcloud-12factor,nextcloud
privatebin,nginx-php
ic-airborne-app,nginx-php
