source,target
cobbler_oracle,oraclelinux
oracle-weblogic11g,oraclelinux
oracle-weblogic11g-cluster,oraclelinux
oracledatabase-11g-r2-ee,oraclelinux
nexusrpm,oraclelinux
docker-oraclelinux-5.11,oraclelinux
firefox,oraclelinux
firefox-flash,firefox
jenkins,oraclelinux
hms-jenkins,jenkins
oracledatabase,oraclelinux
oraclelinux-extras,oraclelinux
drupal-mysql,oraclelinux
mysql-docker,oraclelinux
oracle12c,oraclelinux
dockermaker,oraclelinux
docker-oracle7-slim-java8,oraclelinux
docker-coherence,docker-oracle7-slim-java8
cartesoft_image_git,oraclelinux
centos5-builders,oraclelinux
docker_mysql-5.5,oraclelinux
docker_mysql-5.6,oraclelinux
docker_mysql-5.7,oraclelinux
mysql,oraclelinux
concrete5-mysql,mysql
oel-apache-php,oraclelinux
mysql-docker-local,oraclelinux
banner9-admin,oraclelinux
banner9-selfservice,oraclelinux
weblogic-operator,oraclelinux
oel-java,oraclelinux
docker-coursera-dl,oraclelinux
svnserver,oraclelinux
ol7base,oraclelinux
subversion,oraclelinux
oraclelinux-oraclejdk,oraclelinux
weblogic1036,oraclelinux
weblogicapp,weblogic1036
oel-base,oraclelinux
control,oel-base
node_oracledb,oraclelinux
liferay-7-docker,oraclelinux
apache_httpd_ol6,oraclelinux
docker_openjdk_ol6,oraclelinux
mysql-server,oraclelinux
low-memory-mysql,mysql-server
aswdb,oraclelinux
glassfish,oraclelinux
usersms_back,glassfish
openjdk,oraclelinux
distriapplici,openjdk
mysql-router,oraclelinux
mesos-base,oraclelinux
mesos-agent,mesos-base
oracle-core,oraclelinux
httpd,oracle-core
httpd-fcgi,httpd
mysql_cluster,oraclelinux
oos65-devel,oraclelinux
s3-mediaserver,oraclelinux
docker-oracle6-ansible,oraclelinux
docker-oracle7-ansible,oraclelinux
oraclelinux-idea-iu-vnc,oraclelinux
remoterepos,oraclelinux
mysql-server,oraclelinux
minimal-mysql,mysql-server
buildbox,oraclelinux
go-buildbox,buildbox
video-transcoding-api,go-buildbox
washington,oraclelinux
oraclelinux6-ssh,oraclelinux
oraclelinux7-ssh,oraclelinux
tvdbase,oraclelinux
tomcatssl,oraclelinux
docker_test,oraclelinux
mysql-docker,oraclelinux
