source,target
cf-ubuntu-16,ubuntu-base
nimbix-app,ubuntu-base
p_ns,ubuntu-base
ubuntu-go,ubuntu-base
fleet,ubuntu-go
ubuntu-nginx-php,ubuntu-base
slimerjs-docker,ubuntu-nginx-php
ubuntu-nodejs,ubuntu-base
ubuntu-strongloop,ubuntu-nodejs
pocketmine,ubuntu-base
k8s-config-loader,ubuntu-base
k8s-rabbitmq-nodes,ubuntu-base
docker-carbon,ubuntu-base
ubuntu-base-ui,ubuntu-base
ubuntu-base-atom,ubuntu-base-ui
ubuntu-go-atom,ubuntu-base-atom
ubuntu-jdk,ubuntu-base
ubuntu-jdk-xml,ubuntu-jdk
ubuntu-java8,ubuntu-base
docker-clusterbrake,ubuntu-java8
ubuntu-platformio,ubuntu-base
ubuntu-ruby,ubuntu-base
ruby-nodejs,ubuntu-ruby
spree-dockerimage,ruby-nodejs
php,ubuntu-base
docker-magento-php-fpm-alpine,php
cacti,ubuntu-base
cacti-thold,cacti
gollum,ubuntu-base
gollum-ldap,gollum
squid,ubuntu-base
docker-squid-cache-all,squid
squid-open,ubuntu-base
docker-arm-linux-gnueabihf,ubuntu-base
tensorflow,ubuntu-base
fastai,tensorflow
common,ubuntu-base
postfix,common
nagios,postfix
nagios-graphs,nagios
tensorflow-jupyter-nimbix-ubuntu,ubuntu-base
builder,ubuntu-base
test,builder
ubuntu-dovecot,ubuntu-base
ubuntu-postfix,ubuntu-base
ubuntu-spamassassin,ubuntu-base
ubuntu-base-oracle-java,ubuntu-base
confluence,ubuntu-base-oracle-java
ubuntu-zombiejs,ubuntu-base
wiremock,ubuntu-base
sabnzbd,ubuntu-base
sabnzbd-withsocks,sabnzbd
sickbeard,ubuntu-base
sickbeard-marginal,sickbeard
simc,ubuntu-base
ruby-install,ubuntu-base
ruby,ruby-install
outletbox-rails,ruby
beaver,ubuntu-base
boom,ubuntu-base
couchdb,ubuntu-base
sofia-couchdb,couchdb
java,ubuntu-base
ferret-docker,java
mysql-client,ubuntu-base
mysqltuner,mysql-client
mysql-server,ubuntu-base
mysql,mysql-server
concrete5-mysql,mysql
nginx,ubuntu-base
dockerized-nginx-tester,nginx
node,ubuntu-base
thesis,node
redis,ubuntu-base
redis-amazon-backup,redis
mesos-base,ubuntu-base
mesos-agent,mesos-base
mesos-dns,ubuntu-base
mesos-dns-env,mesos-dns
boar-data,ubuntu-base
ocr,boar-data
carbon-cache,ubuntu-base
icinga2ido,ubuntu-base
icingaweb2,ubuntu-base
mingw,ubuntu-base
rendera,mingw
nextcloud,ubuntu-base
nextcloud-components,nextcloud
safechat,ubuntu-base
vsftpd,ubuntu-base
gearman,ubuntu-base
fio,ubuntu-base
carbon,ubuntu-base
cobalt,carbon
docker-grafana,ubuntu-base
elasticsearch-curator,ubuntu-base
hera-config-synchronizer,ubuntu-base
kibana,ubuntu-base
kibana-mavel-sense,kibana
nginx,ubuntu-base
nginx-mod-http-headers-more,nginx
sensu,ubuntu-base
adop-sensu,sensu
sensu-client,ubuntu-base
hera-satellite,sensu-client
web-screenshoter,ubuntu-base
execbeat,ubuntu-base
git-cloner-base,ubuntu-base
git-cloner-plus,git-cloner-base
glusterfs-client,ubuntu-base
gs-zip-cloner-base,glusterfs-client
gs-zip-cloner-plus,gs-zip-cloner-base
ubuntu-docker,ubuntu-base
swift-docker,ubuntu-docker
ubuntu-openjdk-8-jdk,ubuntu-base
dockertest,ubuntu-openjdk-8-jdk
ubuntu-oracle-8-jdk,ubuntu-base
zip-cloner-base,ubuntu-base
zip-cloner-plus,zip-cloner-base
ubuntu-golang,ubuntu-base
hostmon,ubuntu-golang
ubuntu-perl,ubuntu-base
mesos-dns,ubuntu-base
acs-mesos-dns,mesos-dns
plexpy,ubuntu-base
radarr,ubuntu-base
radarr-mp4,radarr
sonarr,ubuntu-base
sonarr-mp4,sonarr
yocto,ubuntu-base
kyua,yocto
memesuite,ubuntu-base
basic-sensu,ubuntu-base
basic-sensu-client,ubuntu-base
oracle-java8,ubuntu-base
activator,oracle-java8
sortingoffice,activator
consul,ubuntu-base
moe-consul,consul
mongodb,ubuntu-base
crits_mongo,mongodb
nginx,ubuntu-base
generic-proxy,nginx
nodejs,ubuntu-base
ssr-with-net-speeder,nodejs
rabbitmq,ubuntu-base
rabbitmqdockermqtt,rabbitmq
xenial-arm64,ubuntu-base
xenial-armhf,ubuntu-base
xenial-i386,ubuntu-base
zesty-amd64,ubuntu-base
zesty-i386,ubuntu-base
arm-linux-gnueabihf,ubuntu-base
docker-warden-build,ubuntu-base
ubuntu-native-build,ubuntu-base
s6-ruby2.1,ubuntu-base
hbase,ubuntu-base
nutch,hbase
android-sdk-lite,ubuntu-base
ionic-android,android-sdk-lite
